suite,episode_index,decision_index,packet_count,packet_priority,packet_deadline,candidate_degree,best_candidate_slack,best_candidate_slack_ratio,feasible_candidate_fraction,any_feasible_candidate,max_candidate_path_length,target_next_hop,predicted_next_hop,best_candidate_cost,second_best_candidate_cost,oracle_action_gap,oracle_action_gap_ratio,model_top1_score,model_top2_score,model_margin,predicted_score,target_score,predicted_cost_to_go,predicted_slack,predicted_on_time,predicted_continuation_gap,strictly_suboptimal,target_match,row_in_suite,perturb_flip_rate,max_tree_depth,hub_asymmetry,mean_queue,p90_queue,max_queue,deadline_miss,regret,solved,slack_band,packet_band,load_percentile,load_band,depth_band,hard_condition_count,hard_feasible_case,large_gap_hard_feasible_case,oracle_near_tie_case,model_near_tie_case,hard_near_tie_intersection_case,baseline_error_hard_near_tie_case,gap_bucket,baseline_error,depth_load_regime,critical_packet_proxy,effective_tie_under_perturbation,local_regret_if_corrected
e3_memory_hubs_rsm_round8_multiheavy_seed311,7,79,3,2.0,29.22733798142799,1,1.130896806716919,0.038693116952201664,1.0,True,9,23,23,28.0964412689209,28.0964412689209,0.0,0.0,-10.932097434997559,-10.932097434997559,0.0,-10.932097434997559,-10.932097434997559,28.0964412689209,1.130896806716919,True,0.0,False,True,79,0.0,3,1.3272192478179932,3.5599212646484375,4.62595272064209,4.942323684692383,True,0.8845996481029346,True,very_tight,3,0.7264535507401845,high_load,3,2,True,False,True,True,True,False,near_tie,False,d3_high_load,True,False,0.0
a1_multiheavy_ood_branching3_round8_eval_seed311,1,48,5,2.0,24.87743099299293,1,0.4487186074256897,0.018037176248306242,1.0,True,9,10,10,24.428712844848633,24.428712844848633,0.0,0.0,-13.039236068725586,-13.039236068725586,0.0,-13.039236068725586,-13.039236068725586,24.428712844848633,0.4487186074256897,True,0.0,False,True,48,0.0,3,0.2769559919834137,2.221676826477051,4.409205436706543,4.798219680786133,True,12.072377131114223,True,critical,5+,0.23782450118000428,low_load,3,2,True,False,True,True,True,False,near_tie,False,d3_low_load,True,False,0.0
a1_multiheavy_ood_branching3_round8_eval_seed311,1,56,5,1.0,27.77917596888233,1,1.1505093574523926,0.04141625218621207,1.0,True,9,49,49,26.628665924072266,26.628665924072266,0.0,0.0,-10.623970985412598,-10.623970985412598,0.0,-10.623970985412598,-10.623970985412598,26.628665924072266,1.1505093574523926,True,0.0,False,True,56,0.0,3,0.2769559919834137,2.221676826477051,4.409205436706543,4.798219680786133,True,12.072377131114223,True,very_tight,5+,0.23782450118000428,low_load,3,2,True,False,True,True,True,False,near_tie,False,d3_low_load,False,False,0.0
a1_multiheavy_ood_branching3_round8_eval_seed311,2,80,5,2.0,27.590800261863006,1,1.3226076364517212,0.0479365449316045,1.0,True,9,136,136,26.268192291259766,26.268192291259766,0.0,0.0,-13.189576148986816,-13.189576148986816,0.0,-13.189576148986816,-13.189576148986816,26.268192291259766,1.3226076364517212,True,0.0,False,True,80,0.0,3,1.2444921135902405,2.3918018341064453,4.406889915466309,4.795998573303223,True,2.9463444510024317,True,very_tight,5+,0.31677751555460204,low_load,3,2,True,False,True,True,True,False,near_tie,False,d3_low_load,False,False,0.0
a1_multiheavy_ood_branching3_round8_eval_seed311,2,96,5,2.0,30.083576989239987,1,1.3383063077926636,0.044486275959515605,1.0,True,9,134,134,28.745269775390625,28.745269775390625,0.0,0.0,-13.24987506866455,-13.24987506866455,0.0,-13.24987506866455,-13.24987506866455,28.745269775390625,1.3383063077926636,True,0.0,False,True,96,0.0,3,1.2444921135902405,2.3918018341064453,4.406889915466309,4.795998573303223,True,2.9463444510024317,True,very_tight,5+,0.31677751555460204,low_load,3,2,True,False,True,True,True,False,near_tie,False,d3_low_load,False,False,0.0
a1_multiheavy_ood_branching3_round8_eval_seed311,11,288,5,3.0,32.0123673398455,1,1.0612387657165527,0.03315089928996406,1.0,True,9,97,97,30.951128005981445,30.951128005981445,0.0,0.0,-14.068442344665527,-14.068442344665527,0.0,-14.068442344665527,-14.068442344665527,30.951128005981445,1.0612387657165527,True,0.0,False,True,288,0.0,3,3.161828100681305,1.9254577159881592,2.6627066135406494,2.900622844696045,True,0.0,True,very_tight,5+,0.09279124651362368,low_load,3,2,True,False,True,True,True,False,near_tie,False,d3_low_load,False,False,0.0
a1_multiheavy_ood_branching3_round8_eval_seed311,11,296,5,2.0,31.43350754913883,1,0.33196431398391724,0.010560842230698237,1.0,True,9,97,97,31.101543426513672,31.101543426513672,0.0,0.0,-14.055807113647461,-14.055807113647461,0.0,-14.055807113647461,-14.055807113647461,31.101543426513672,0.33196431398391724,True,0.0,False,True,296,0.0,3,3.161828100681305,1.9254577159881592,2.6627066135406494,2.900622844696045,True,0.0,True,critical,5+,0.09279124651362368,low_load,3,2,True,False,True,True,True,False,near_tie,False,d3_low_load,True,False,0.0
a1_multiheavy_ood_branching3_round8_eval_seed311,11,304,5,2.0,31.599118401659908,1,0.6113778352737427,0.019347939632443256,1.0,True,9,132,132,30.987741470336914,30.987741470336914,0.0,0.0,-11.833545684814453,-11.833545684814453,0.0,-11.833545684814453,-11.833545684814453,30.987741470336914,0.6113778352737427,True,0.0,False,True,304,0.0,3,3.161828100681305,1.9254577159881592,2.6627066135406494,2.900622844696045,True,0.0,True,critical,5+,0.09279124651362368,low_load,3,2,True,False,True,True,True,False,near_tie,False,d3_low_load,False,False,0.0
a1_multiheavy_ood_branching3_round8_eval_seed311,12,312,5,3.0,26.47555700797816,1,1.1018562316894531,0.0416178678075562,1.0,True,9,51,51,25.373701095581055,25.373701095581055,0.0,0.0,-11.952140808105469,-11.952140808105469,0.0,-11.952140808105469,-11.952140808105469,25.373701095581055,1.1018562316894531,True,0.0,False,True,312,0.0,3,0.3391077220439911,3.086784601211548,3.8445634841918945,4.219221591949463,True,17.494400120605576,True,very_tight,5+,0.6089894872344991,mid_load,3,2,True,False,True,True,True,False,near_tie,False,d3_mid_load,False,False,0.0
a1_multiheavy_ood_branching3_round8_eval_seed311,12,320,5,3.0,28.234399409933438,1,0.8454065322875977,0.029942430154549927,1.0,True,9,11,11,27.388992309570312,27.388992309570312,0.0,0.0,-13.41906452178955,-13.41906452178955,0.0,-13.41906452178955,-13.41906452178955,27.388992309570312,0.8454065322875977,True,0.0,False,True,320,0.0,3,0.3391077220439911,3.086784601211548,3.8445634841918945,4.219221591949463,True,17.494400120605576,True,very_tight,5+,0.6089894872344991,mid_load,3,2,True,False,True,True,True,False,near_tie,False,d3_mid_load,False,False,0.0
a1_multiheavy_ood_branching3_round8_eval_seed311,12,344,5,1.0,26.275186209881085,1,0.30825045704841614,0.01173161836365959,1.0,True,9,7,7,25.966936111450195,25.966936111450195,0.0,0.0,-8.12998104095459,-8.12998104095459,0.0,-8.12998104095459,-8.12998104095459,25.966936111450195,0.30825045704841614,True,0.0,False,True,344,0.0,3,0.3391077220439911,3.086784601211548,3.8445634841918945,4.219221591949463,True,17.494400120605576,True,critical,5+,0.6089894872344991,mid_load,3,2,True,False,True,True,True,False,near_tie,False,d3_mid_load,True,False,0.0
a1_multiheavy_ood_branching3_round8_eval_seed311,16,416,2,3.0,28.189136382789936,1,0.9001952409744263,0.031934119185148734,1.0,True,9,7,7,27.2889404296875,27.2889404296875,0.0,0.0,-13.276103019714355,-13.276103019714355,0.0,-13.276103019714355,-13.276103019714355,27.2889404296875,0.9001952409744263,True,0.0,False,True,416,0.0,3,0.1039445698261261,3.2975828647613525,4.671707630157471,4.973628997802734,True,2.818060874699988,True,very_tight,2,0.6842952156189659,high_load,3,2,True,False,True,True,True,False,near_tie,False,d3_high_load,True,False,0.0
a1_multiheavy_ood_branching3_round8_eval_seed311,27,648,2,2.0,27.27988408369724,1,0.2234077900648117,0.008189469917811075,1.0,True,9,15,15,27.056476593017578,27.056476593017578,0.0,0.0,-12.454253196716309,-12.454253196716309,0.0,-12.454253196716309,-12.454253196716309,27.056476593017578,0.2234077900648117,True,0.0,False,True,648,0.0,3,0.5548342764377594,3.554374933242798,4.513041019439697,4.846229076385498,True,0.4131607966045294,True,critical,2,0.7224844453979833,high_load,3,2,True,False,True,True,True,False,near_tie,False,d3_high_load,True,False,0.0
a1_multiheavy_ood_branching3_round8_eval_seed311,27,656,2,2.0,28.35669345732911,1,0.5411295294761658,0.019082955856276135,1.0,True,9,54,54,27.815563201904297,27.815563201904297,0.0,0.0,-11.922494888305664,-11.922494888305664,0.0,-11.922494888305664,-11.922494888305664,27.815563201904297,0.5411295294761658,True,0.0,False,True,656,0.0,3,0.5548342764377594,3.554374933242798,4.513041019439697,4.846229076385498,True,0.4131607966045294,True,critical,2,0.7224844453979833,high_load,3,2,True,False,True,True,True,False,near_tie,False,d3_high_load,False,False,0.0
a1_multiheavy_ood_branching3_round8_eval_seed311,28,664,5,3.0,30.01369946772404,1,1.4723140001296997,0.04905473254681544,1.0,True,9,51,51,28.541385650634766,28.541385650634766,0.0,0.0,-12.402552604675293,-12.402552604675293,0.0,-12.402552604675293,-12.402552604675293,28.541385650634766,1.4723140001296997,True,0.0,False,True,664,0.0,3,0.1632029414176941,3.1320366859436035,4.22399377822876,4.683548450469971,True,7.326583316081695,True,very_tight,5+,0.6255095473074448,mid_load,3,2,True,False,True,True,True,False,near_tie,False,d3_mid_load,False,False,0.0
