family,variant,budget_pct,slice,decisions,coverage,defer_precision,false_positive_rate,harmful_selection_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,mean_delta_miss,selected_disagreement,average_outer_steps,compute_multiplier,runtime_proxy_multiplier
round12_ultralow,linear,0.75,high_headroom_near_tie,70,0.02857142857142857,0.0,1.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,3.057142857142857,1.019047619047619,1.019047619047619
round12_ultralow,linear,0.75,baseline_error_near_tie,144,0.013888888888888888,0.0,1.0,0.0,0.013888888888888888,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,3.0277777777777777,1.0092592592592593,1.0092592592592593
round12_ultralow,linear,0.75,large_gap_control,1921,0.007287870900572618,0.0,1.0,0.0,0.0,0.0,0.9979177511712649,0.9979177511712649,0.0,0.0,0.0,3.014575741801145,1.0048585806003818,1.0048585806003818
round12_ultralow,linear,1.0,overall,8683,0.010134746055510768,0.0,1.0,0.0,0.00023033513762524472,0.0,0.9651042266497755,0.9651042266497755,0.0,0.0,0.0,3.0202694921110216,1.0067564973703405,1.0067564973703405
round12_ultralow,linear,1.0,stable_positive_v2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
round12_ultralow,linear,1.0,stable_positive_v2_committee,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
round12_ultralow,linear,1.0,hard_near_tie,1489,0.011417058428475487,0.0,1.0,0.0,0.001343183344526528,0.0,0.9053055742108798,0.9053055742108798,0.0,0.0,0.0,3.022834116856951,1.0076113722856503,1.0076113722856503
round12_ultralow,linear,1.0,high_headroom_near_tie,70,0.02857142857142857,0.0,1.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,3.057142857142857,1.019047619047619,1.019047619047619
round12_ultralow,linear,1.0,baseline_error_near_tie,144,0.013888888888888888,0.0,1.0,0.0,0.013888888888888888,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,3.0277777777777777,1.0092592592592593,1.0092592592592593
round12_ultralow,linear,1.0,large_gap_control,1921,0.008849557522123894,0.0,1.0,0.0,0.0,0.0,0.9979177511712649,0.9979177511712649,0.0,0.0,0.0,3.017699115044248,1.0058997050147493,1.0058997050147493
round12_ultralow,linear,1.5,overall,8683,0.015202119083266153,0.0,1.0,0.0,0.00023033513762524472,0.0,0.9651042266497755,0.9651042266497755,0.0,0.0,0.0,3.030404238166532,1.0101347460555108,1.0101347460555108
round12_ultralow,linear,1.5,stable_positive_v2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
