variant,task,split,auroc,average_precision,brier,precision_at_050,recall_at_050,trigger_rate_at_050
linear,helpful,round10_feature_cache_seed315,0.3979732842008291,0.0005676271764408012,0.0012619509834944941,0.0,0.0,0.0
linear,helpful,round10_feature_cache_seed316,0.5760742586102549,0.008354718425745894,0.043086239261863446,0.0,0.0,0.0442498271491127
linear,harmful,round10_feature_cache_seed315,0.73898434490728,0.02922276637041378,0.11206804757440889,0.025280898876404494,0.2647058823529412,0.16390423572744015
linear,harmful,round10_feature_cache_seed316,0.22801308723638822,0.001986552448602776,0.05257754746178896,0.0,0.0,0.09264807559345471
linear,action_changed,round10_feature_cache_seed315,0.49003609866969716,0.014435104362654747,0.1327796010482556,0.0,0.0,0.15446593001841621
linear,action_changed,round10_feature_cache_seed316,0.5770263016639828,0.011516693418143844,0.046690668597252044,0.0,0.0,0.06914035492048859
linear,oracle_correct_flip,round10_feature_cache_seed315,0.41676260649320745,0.0003946329913180742,0.08958975729439349,0.0,0.0,0.04488950276243094
linear,oracle_correct_flip,round10_feature_cache_seed316,0.4883917589175892,0.0008656330575767687,0.036208512594172786,0.0,0.0,0.049550587693016825
mlp,helpful,round10_feature_cache_seed315,0.5778443113772455,0.0008147175160551209,0.002233253293696849,0.0,0.0,0.0016114180478821363
mlp,helpful,round10_feature_cache_seed316,0.11876310715140255,0.004303925053525792,0.0076054390412537455,0.0,0.0,0.0
mlp,harmful,round10_feature_cache_seed315,0.7296985913167886,0.027071545342262606,0.3205382965385807,0.035880398671096346,0.7941176470588235,0.3464548802946593
mlp,harmful,round10_feature_cache_seed316,0.1920587503111775,0.0018639585535661675,0.0029960820465545056,0.0,0.0,0.0
mlp,action_changed,round10_feature_cache_seed315,0.7334948860217929,0.05690906832551148,0.5476028584612631,0.02831715210355987,1.0,0.569060773480663
mlp,action_changed,round10_feature_cache_seed316,0.1759132662878903,0.006087470261195182,0.01060152108780825,0.0,0.0,0.0
mlp,oracle_correct_flip,round10_feature_cache_seed315,0.7607644485378771,0.0009615384615384616,0.00023020257826890513,0.0,0.0,0.0
mlp,oracle_correct_flip,round10_feature_cache_seed316,0.10547355473554736,0.0005105879469810562,0.000691403596820516,0.0,0.0,0.0
candidate_conditioned,helpful,round10_feature_cache_seed315,0.9923998157531092,0.042486583184257604,0.00046040515653775324,0.0,0.0,0.0
candidate_conditioned,helpful,round10_feature_cache_seed316,0.21520359188728905,0.004515571721693818,0.0076054390412537455,0.0,0.0,0.0
candidate_conditioned,harmful,round10_feature_cache_seed315,0.7156427117151819,0.025253705229979113,0.2899719516847888,0.031024531024531024,0.6323529411764706,0.319060773480663
candidate_conditioned,harmful,round10_feature_cache_seed316,0.33217753120665744,0.0022573768328875716,0.006438166491314276,0.0,0.0,0.005070292694169164
candidate_conditioned,action_changed,round10_feature_cache_seed315,0.7102312988836152,0.0264435514274056,0.016114180475676577,0.0,0.0,0.0
candidate_conditioned,action_changed,round10_feature_cache_seed316,0.20434681331591367,0.006223678298556237,0.010601521087808251,0.0,0.0,0.0
candidate_conditioned,oracle_correct_flip,round10_feature_cache_seed315,0.8620769053649551,0.0016666666666666668,0.00023020257826867837,0.0,0.0,0.0
candidate_conditioned,oracle_correct_flip,round10_feature_cache_seed316,0.10947109471094711,0.0005065975160044042,0.0006914035492066211,0.0,0.0,0.0
margin_only,helpful,round10_feature_cache_seed315,0.875748502994012,0.0027565016183552587,0.05365056911228879,0.0,0.0,0.0
margin_only,helpful,round10_feature_cache_seed316,0.8534673253670002,0.024673353989637804,0.08385476057845943,0.0,0.0,0.0
margin_only,harmful,round10_feature_cache_seed315,0.8400580531557805,0.044540749668264525,0.23978026043502634,0.030168589174800354,1.0,0.5188766114180479
margin_only,harmful,round10_feature_cache_seed316,0.793858245314556,0.0072892165791364075,0.1173075095244056,0.0,0.0,0.0
margin_only,action_changed,round10_feature_cache_seed315,0.8414031686610067,0.046130004955010594,0.1367421434247956,0.0,0.0,0.0
margin_only,action_changed,round10_feature_cache_seed316,0.8380275271169447,0.030794003201509202,0.09907661890463723,0.0,0.0,0.0
margin_only,oracle_correct_flip,round10_feature_cache_seed315,0.8733594289661525,0.0018148820326678765,0.21466574448507403,0.0,0.0,0.12062615101289134
margin_only,oracle_correct_flip,round10_feature_cache_seed316,0.8294895448954489,0.002595059475882081,0.10729921514958116,0.0,0.0,0.0
margin_plus_regime,helpful,round10_feature_cache_seed315,0.7762551819438047,0.0017324412322444452,0.058881030208004066,0.0,0.0,0.0
margin_plus_regime,helpful,round10_feature_cache_seed316,0.955150670663908,0.11236370827265806,0.13113402648711928,0.0,0.0,0.0
margin_plus_regime,harmful,round10_feature_cache_seed315,0.8995659769988444,0.06952673680375564,0.09282355640988503,0.0,0.0,0.0
margin_plus_regime,harmful,round10_feature_cache_seed316,0.7060528468295458,0.005178204235107064,0.13621632920665103,0.0,0.0,0.0
margin_plus_regime,action_changed,round10_feature_cache_seed315,0.9061768834815161,0.07876162312004992,0.1341917452426683,0.0,0.0,0.0
margin_plus_regime,action_changed,round10_feature_cache_seed316,0.7826542703491022,0.02241208970173251,0.1413052840175832,0.0,0.0,0.013597603134362757
margin_plus_regime,oracle_correct_flip,round10_feature_cache_seed315,0.9544093944278149,0.005025125628140704,0.08418412485668068,0.0,0.0,0.0
margin_plus_regime,oracle_correct_flip,round10_feature_cache_seed316,0.8806119311193112,0.009774549256947306,0.10494417466173439,0.0,0.0,0.0
