bucket,episodes,feasible_episode_fraction,solved_rate,average_regret,p95_regret,deadline_miss_rate,group
critical,130,1.0,1.0,6.589029743006463,22.54474290195736,1.0,slack_band
loose,4,1.0,1.0,1.1801338608909564,3.6537298760536285,0.25,slack_band
moderate,4,1.0,1.0,0.0,0.0,0.0,slack_band
tight,22,1.0,1.0,2.6977120734437405,9.531710451862686,0.4090909090909091,slack_band
very_tight,80,1.0,1.0,4.6045988942805485,13.666058198014277,0.7625,slack_band
1,20,1.0,1.0,0.8366441798026127,4.277509180288431,0.3,packet_band
2,39,1.0,1.0,2.211775281462554,9.237234866142474,0.6923076923076923,packet_band
3,42,1.0,1.0,3.801640703068264,13.142204947600794,0.8571428571428571,packet_band
4,45,1.0,1.0,4.355207787026628,13.36281770829751,0.9111111111111111,packet_band
5+,94,1.0,1.0,8.833687230579287,25.342176062489752,0.9680851063829787,packet_band
high_load,82,1.0,1.0,7.348140496200121,26.375981290217812,0.9634146341463414,load_band
low_load,79,1.0,1.0,3.53145892864774,13.673796122563784,0.6962025316455697,load_band
mid_load,79,1.0,1.0,5.157964596721882,13.23531817445372,0.8481012658227848,load_band
2,8,1.0,1.0,5.419870382034608,19.392760022143204,0.75,depth_band
3,111,1.0,1.0,3.459866709837335,11.810494309366945,0.7747747747747747,depth_band
4,121,1.0,1.0,7.120725713589993,25.00443709370124,0.9008264462809917,depth_band
high_gap,82,1.0,1.0,1.632483023671265,9.358277076945027,0.7439024390243902,hub_gap_band
low_gap,79,1.0,1.0,8.171314354768647,20.813478065517714,0.9620253164556962,hub_gap_band
mid_gap,79,1.0,1.0,6.450816926896752,25.00260103601872,0.810126582278481,hub_gap_band
