slice,decisions,episodes,baseline_error_rate,mean_headroom,p95_headroom,target_match,predicted_on_time,effective_tie_rate
hard_feasible,2819,129,0.049308265342319975,0.1169800773585422,0.0,0.95069173465768,0.998226321390564,0.013834693153600568
oracle_near_tie,1282,129,0.0967238689547582,0.17722553396001806,1.3970154285430914,0.9032761310452418,0.9984399375975039,0.030421216848673948
model_near_tie,1007,129,0.13803376365441908,0.3274745164585208,2.390959167480468,0.8619662363455809,0.9950347567030785,0.038728897715988087
hard_near_tie_intersection,777,129,0.15958815958815958,0.292410726559515,2.2847747802734335,0.8404118404118404,0.9974259974259975,0.05019305019305019
stable_near_tie,738,129,0.14092140921409213,0.30166802109095464,2.3657996177673333,0.8590785907859079,0.997289972899729,0.0
high_headroom_near_tie,62,44,1.0,2.992741584777832,7.6713678359985265,0.0,0.967741935483871,0.0
baseline_error_intersection,124,59,1.0,1.8322833430382512,4.04839277267456,0.008064516129032258,0.9838709677419355,0.16129032258064516
large_gap_control,1216,75,0.003289473684210526,0.03344885063798804,0.0,0.9967105263157895,0.9983552631578947,0.0
