left_group,right_group,left_size,right_size,signature_jaccard,signature_type,subset
314,315,17,1,0.0,fine,round11
314,316,17,2,0.0,fine,round11
315,316,1,2,0.0,fine,round11
314,315,12,1,0.08333333333333333,coarse,round11
314,316,12,2,0.16666666666666666,coarse,round11
315,316,1,2,0.0,coarse,round11
314,315,17,1,0.0,fine,v2
314,316,17,2,0.0,fine,v2
315,316,1,2,0.0,fine,v2
314,315,12,1,0.08333333333333333,coarse,v2
314,316,12,2,0.16666666666666666,coarse,v2
315,316,1,2,0.0,coarse,v2
314,315,8,0,0.0,fine,v2_committee
314,316,8,1,0.0,fine,v2_committee
315,316,0,1,0.0,fine,v2_committee
314,315,8,0,0.0,coarse,v2_committee
314,316,8,1,0.0,coarse,v2_committee
315,316,0,1,0.0,coarse,v2_committee
314,315,8,0,0.0,fine,v2_strict
314,316,8,1,0.0,fine,v2_strict
315,316,0,1,0.0,fine,v2_strict
314,315,8,0,0.0,coarse,v2_strict
314,316,8,1,0.0,coarse,v2_strict
315,316,0,1,0.0,coarse,v2_strict
