budget_pct,left_variant,right_variant,dominates,left_stable_positive_recall,right_stable_positive_recall,left_hard_target_match,right_hard_target_match,left_overall_mean_delta_regret,right_overall_mean_delta_regret
0.5,prototype_negative_tail_support_agree_mix_hybrid,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,False,0.0,0.5,0.9053055742108798,0.9045001683058189,-0.0037601903247404906,-0.009677317519332465
0.5,prototype_negative_tail_support_agree_mix_hybrid,prototype_memory_agree_blend_hybrid,True,0.0,0.0,0.9053055742108798,0.9038992067673575,-0.0037601903247404906,-0.0017704953364416462
0.5,prototype_negative_tail_support_agree_mix_hybrid,prototype_sharp_negative_tail_support_agree_mix_hybrid,True,0.0,0.0,0.9053055742108798,0.9053055742108798,-0.0037601903247404906,-0.0008909049073109138
0.5,prototype_sharp_negative_tail_support_agree_mix_hybrid,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,False,0.0,0.5,0.9053055742108798,0.9045001683058189,-0.0008909049073109138,-0.009677317519332465
0.5,prototype_sharp_negative_tail_support_agree_mix_hybrid,prototype_memory_agree_blend_hybrid,False,0.0,0.0,0.9053055742108798,0.9038992067673575,-0.0008909049073109138,-0.0017704953364416462
0.5,prototype_sharp_negative_tail_support_agree_mix_hybrid,prototype_negative_tail_support_agree_mix_hybrid,False,0.0,0.0,0.9053055742108798,0.9053055742108798,-0.0008909049073109138,-0.0037601903247404906
0.75,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,prototype_memory_agree_blend_hybrid,True,0.5,0.0,0.9045001683058189,0.9038992067673575,-0.011692202766979059,-0.0017704953364416462
0.75,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,prototype_negative_tail_support_agree_mix_hybrid,False,0.5,0.0,0.9045001683058189,0.9053055742108798,-0.011692202766979059,-0.004280463103035498
0.75,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,prototype_sharp_negative_tail_support_agree_mix_hybrid,False,0.5,0.0,0.9045001683058189,0.9053055742108798,-0.011692202766979059,-0.0008909049073109138
0.75,prototype_memory_agree_blend_hybrid,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,False,0.0,0.5,0.9038992067673575,0.9045001683058189,-0.0017704953364416462,-0.011692202766979059
0.75,prototype_memory_agree_blend_hybrid,prototype_negative_tail_support_agree_mix_hybrid,False,0.0,0.0,0.9038992067673575,0.9053055742108798,-0.0017704953364416462,-0.004280463103035498
0.75,prototype_memory_agree_blend_hybrid,prototype_sharp_negative_tail_support_agree_mix_hybrid,False,0.0,0.0,0.9038992067673575,0.9053055742108798,-0.0017704953364416462,-0.0008909049073109138
0.75,prototype_negative_tail_support_agree_mix_hybrid,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,False,0.0,0.5,0.9053055742108798,0.9045001683058189,-0.004280463103035498,-0.011692202766979059
0.75,prototype_negative_tail_support_agree_mix_hybrid,prototype_memory_agree_blend_hybrid,True,0.0,0.0,0.9053055742108798,0.9038992067673575,-0.004280463103035498,-0.0017704953364416462
0.75,prototype_negative_tail_support_agree_mix_hybrid,prototype_sharp_negative_tail_support_agree_mix_hybrid,True,0.0,0.0,0.9053055742108798,0.9053055742108798,-0.004280463103035498,-0.0008909049073109138
0.75,prototype_sharp_negative_tail_support_agree_mix_hybrid,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,False,0.0,0.5,0.9053055742108798,0.9045001683058189,-0.0008909049073109138,-0.011692202766979059
0.75,prototype_sharp_negative_tail_support_agree_mix_hybrid,prototype_memory_agree_blend_hybrid,False,0.0,0.0,0.9053055742108798,0.9038992067673575,-0.0008909049073109138,-0.0017704953364416462
0.75,prototype_sharp_negative_tail_support_agree_mix_hybrid,prototype_negative_tail_support_agree_mix_hybrid,False,0.0,0.0,0.9053055742108798,0.9053055742108798,-0.0008909049073109138,-0.004280463103035498
1.0,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,prototype_memory_agree_blend_hybrid,True,0.6666666666666666,0.0,0.9052612033134293,0.9038992067673575,-0.013392262517499302,-0.0017704953364416462
1.0,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,prototype_negative_tail_support_agree_mix_hybrid,False,0.6666666666666666,0.0,0.9052612033134293,0.9053055742108798,-0.013392262517499302,-0.004676852456356103
1.0,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,prototype_sharp_negative_tail_support_agree_mix_hybrid,False,0.6666666666666666,0.0,0.9052612033134293,0.9053055742108798,-0.013392262517499302,-0.0008909049073109138
1.0,prototype_memory_agree_blend_hybrid,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,False,0.0,0.6666666666666666,0.9038992067673575,0.9052612033134293,-0.0017704953364416462,-0.013392262517499302
1.0,prototype_memory_agree_blend_hybrid,prototype_negative_tail_support_agree_mix_hybrid,False,0.0,0.0,0.9038992067673575,0.9053055742108798,-0.0017704953364416462,-0.004676852456356103
1.0,prototype_memory_agree_blend_hybrid,prototype_sharp_negative_tail_support_agree_mix_hybrid,False,0.0,0.0,0.9038992067673575,0.9053055742108798,-0.0017704953364416462,-0.0008909049073109138
1.0,prototype_negative_tail_support_agree_mix_hybrid,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,False,0.0,0.6666666666666666,0.9053055742108798,0.9052612033134293,-0.004676852456356103,-0.013392262517499302
1.0,prototype_negative_tail_support_agree_mix_hybrid,prototype_memory_agree_blend_hybrid,True,0.0,0.0,0.9053055742108798,0.9038992067673575,-0.004676852456356103,-0.0017704953364416462
1.0,prototype_negative_tail_support_agree_mix_hybrid,prototype_sharp_negative_tail_support_agree_mix_hybrid,True,0.0,0.0,0.9053055742108798,0.9053055742108798,-0.004676852456356103,-0.0008909049073109138
1.0,prototype_sharp_negative_tail_support_agree_mix_hybrid,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,False,0.0,0.6666666666666666,0.9053055742108798,0.9052612033134293,-0.0008909049073109138,-0.013392262517499302
1.0,prototype_sharp_negative_tail_support_agree_mix_hybrid,prototype_memory_agree_blend_hybrid,False,0.0,0.0,0.9053055742108798,0.9038992067673575,-0.0008909049073109138,-0.0017704953364416462
1.0,prototype_sharp_negative_tail_support_agree_mix_hybrid,prototype_negative_tail_support_agree_mix_hybrid,False,0.0,0.0,0.9053055742108798,0.9053055742108798,-0.0008909049073109138,-0.004676852456356103
1.25,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,prototype_memory_agree_blend_hybrid,True,0.8333333333333333,0.0,0.9060222383210397,0.9038992067673575,-0.015184523606429506,-0.0017704953364416462
1.25,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,prototype_negative_tail_support_agree_mix_hybrid,True,0.8333333333333333,0.25,0.9060222383210397,0.905977165883143,-0.015184523606429506,-0.005844952694133832
1.25,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,prototype_sharp_negative_tail_support_agree_mix_hybrid,True,0.8333333333333333,0.0,0.9060222383210397,0.9053055742108798,-0.015184523606429506,-0.0008909049073109138
