episode_index,packet_index,packet_order_rank,packet_count,curriculum_level,max_tree_depth,packet_priority,packet_deadline,reference_cost,oracle_realized_cost,oracle_remaining_deadline,oracle_initial_slack,has_on_time_feasible_route,oracle_deadline_missed,suite
0,0,0,1,single_dynamic,2,3.0,23.664473630526114,21.9924106310699,22.784955713485797,0.8795179170403182,1.6720629994562124,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
1,0,0,1,multi_dynamic,3,2.0,24.26385150800743,22.142788540374013,22.888738608276835,1.3751128997305946,2.121062967633417,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
2,0,0,1,multi_dynamic,3,1.0,25.654148617697885,23.07496673577368,23.356247058522662,2.297901559175221,2.5791818819242067,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
3,0,0,1,single_dynamic,3,2.0,24.195812585482912,23.05119803620371,23.675048573400275,0.5207640120826373,1.1446145492792006,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
4,0,0,4,multi_dynamic,2,3.0,24.08869495783884,22.67897546377121,23.48276430190467,0.6059306559341686,1.4097194940676303,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
4,2,1,4,multi_dynamic,2,3.0,24.85249961623095,23.862772358264092,24.646830734840716,0.20566888139023742,0.9897272579668588,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
4,1,2,4,multi_dynamic,2,1.0,23.046501664889426,21.9543173336854,22.19055905957279,0.8559426053166295,1.0921843312040274,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
4,3,3,4,multi_dynamic,2,1.0,27.466003415788855,26.754380327420836,26.99571251826174,0.4702908975271183,0.7116230883680181,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
5,1,0,2,multi_dynamic,3,3.0,26.168007375876893,22.85067694872763,23.752383379223858,2.4156239966530366,3.317330427149262,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
5,0,1,2,multi_dynamic,3,3.0,26.172544529563257,26.960918216254342,28.1821169010424,0.0,-0.7883736866910844,False,True,e3_memory_hubs_rsm_round6_multiheavy_seed311
