variant,split,suite,slice,decisions,disagreement,correction_rate,new_error_rate,base_target_match,student_target_match,mean_delta_regret,mean_delta_miss
pairwise,round11_feature_cache_seed316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,hard_near_tie,330,0.0,0.0,0.0,0.8818181818181818,0.8818181818181818,-1.6407330040057e-16,0.0
pairwise,round11_feature_cache_seed316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,stable_near_tie,312,0.0,0.0,0.0,0.8942307692307693,0.8942307692307693,-1.857488521969012e-16,0.0
pairwise,round11_feature_cache_seed316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,high_headroom_near_tie,17,0.0,0.0,0.0,0.0,0.0,6.530723674265627e-17,0.0
pairwise,round11_feature_cache_seed316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,baseline_error_near_tie,41,0.0,0.0,0.0,0.04878048780487805,0.04878048780487805,7.66663155724384e-17,0.0
pairwise,round11_feature_cache_seed316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,large_gap_control,529,0.15122873345935728,0.0,0.15122873345935728,1.0,0.8487712665406427,1.4798448130854587,0.0
pairwise,round11_feature_cache_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,overall,1310,0.06870229007633588,0.012213740458015267,0.05648854961832061,0.9580152671755725,0.9137404580152672,0.3819720064410726,0.0007633587786259542
pairwise,round11_feature_cache_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,stable_positive_pack,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pairwise,round11_feature_cache_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,hard_near_tie,128,0.0,0.0,0.0,0.9296875,0.9296875,-1.5005358067199381e-16,0.0
pairwise,round11_feature_cache_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,stable_near_tie,124,0.0,0.0,0.0,0.9596774193548387,0.9596774193548387,-1.5578935990707843e-16,0.0
pairwise,round11_feature_cache_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,high_headroom_near_tie,3,0.0,0.0,0.0,0.0,0.0,-5.181040781584064e-16,0.0
pairwise,round11_feature_cache_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,baseline_error_near_tie,9,0.0,0.0,0.0,0.0,0.0,-1.603655480014115e-16,0.0
pairwise,round11_feature_cache_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,large_gap_control,133,0.10526315789473684,0.0,0.10526315789473684,1.0,0.8947368421052632,1.2734773248658144,0.0
kl,round11_feature_cache_seed315,a1_multiheavy_mixed_compute_round9_eval_seed315,overall,1581,0.009487666034155597,0.0018975332068311196,0.007590132827324478,0.9664769133459835,0.9607843137254902,0.02845119841863347,0.0
kl,round11_feature_cache_seed315,a1_multiheavy_mixed_compute_round9_eval_seed315,stable_positive_pack,1,1.0,1.0,0.0,0.0,1.0,-7.0802154541015625,-1.0
kl,round11_feature_cache_seed315,a1_multiheavy_mixed_compute_round9_eval_seed315,hard_near_tie,355,0.011267605633802818,0.005633802816901409,0.005633802816901409,0.8985915492957747,0.8985915492957747,0.020595674111809348,0.0
kl,round11_feature_cache_seed315,a1_multiheavy_mixed_compute_round9_eval_seed315,stable_near_tie,342,0.011695906432748537,0.005847953216374269,0.005847953216374269,0.9152046783625731,0.9152046783625731,0.021378550613135434,0.0
kl,round11_feature_cache_seed315,a1_multiheavy_mixed_compute_round9_eval_seed315,high_headroom_near_tie,18,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,-0.9115287992689355,-0.1111111111111111
kl,round11_feature_cache_seed315,a1_multiheavy_mixed_compute_round9_eval_seed315,baseline_error_near_tie,37,0.05405405405405406,0.05405405405405406,0.0,0.02702702702702703,0.08108108108108109,-0.44344644288759033,-0.05405405405405406
kl,round11_feature_cache_seed315,a1_multiheavy_mixed_compute_round9_eval_seed315,large_gap_control,474,0.002109704641350211,0.0,0.002109704641350211,0.9957805907172996,0.9936708860759493,0.01648793441836841,0.0
kl,round11_feature_cache_seed315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,overall,1640,0.0012195121951219512,0.0,0.0012195121951219512,0.974390243902439,0.973170731707317,0.008926274136799021,0.0
kl,round11_feature_cache_seed315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,stable_positive_pack,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
