suite,episode_index,packet_count,community_count,max_tree_depth,hub_asymmetry,mean_queue,p90_queue,max_queue,mean_deadline,min_deadline,solved,total_steps,correct_steps,next_hop_accuracy,oracle_cost,model_cost,regret,deadline_violations,deadline_miss,oracle_priority_delivered,model_priority_delivered,priority_delivered_regret,feasible_packet_fraction,any_feasible_packet,all_feasible_packet,oracle_packet_miss_rate,min_initial_slack,mean_initial_slack,min_initial_slack_ratio,mean_initial_slack_ratio,config_path,manifest_hash,slack_band,packet_band,load_band,depth_band,hub_gap_band
e3_memory_hubs_rsm_round6_multiheavy_seed311,0,1,4,2,0.37813496589660645,3.546660900115967,4.409146308898926,4.784307479858398,23.664473630526114,23.664473630526114,True,6,4,0.6666666666666666,22.784955713485797,25.40186949455909,2.6169137810732934,1,True,3.0,0.0,3.0,1.0,True,True,0.0,1.6720629994562124,1.6720629994562124,0.07065709660659114,0.07065709660659114,configs/experiments/e3_memory_hubs_rsm_round6_multiheavy_seed311.yaml,40be2a89c9264e65730a6dd5921969adac3096b0b95ed715df8dc4f1dc4dc147,tight,1,low_load,2,low_gap
e3_memory_hubs_rsm_round6_multiheavy_seed311,1,1,4,3,1.411731243133545,2.262241840362549,3.5776267051696777,4.058760166168213,24.26385150800743,24.26385150800743,True,8,8,1.0,22.888738608276835,22.888738608276835,0.0,0,False,2.0,2.0,0.0,1.0,True,True,0.0,2.121062967633417,2.121062967633417,0.08741658210912785,0.08741658210912785,configs/experiments/e3_memory_hubs_rsm_round6_multiheavy_seed311.yaml,40be2a89c9264e65730a6dd5921969adac3096b0b95ed715df8dc4f1dc4dc147,tight,1,low_load,3,mid_gap
e3_memory_hubs_rsm_round6_multiheavy_seed311,2,1,4,3,1.4614129662513733,2.938349723815918,3.822766065597534,4.043011665344238,25.654148617697885,25.654148617697885,True,7,7,1.0,23.356247058522662,23.356247058522662,0.0,0,False,1.0,1.0,0.0,1.0,True,True,0.0,2.5791818819242067,2.5791818819242067,0.10053663913621054,0.10053663913621054,configs/experiments/e3_memory_hubs_rsm_round6_multiheavy_seed311.yaml,40be2a89c9264e65730a6dd5921969adac3096b0b95ed715df8dc4f1dc4dc147,moderate,1,low_load,3,mid_gap
e3_memory_hubs_rsm_round6_multiheavy_seed311,3,1,4,3,2.3528492152690887,2.640321731567383,4.341004371643066,4.498185157775879,24.195812585482912,24.195812585482912,True,7,7,1.0,23.675048573400275,23.675048573400275,0.0,0,False,2.0,2.0,0.0,1.0,True,True,0.0,1.1446145492792006,1.1446145492792006,0.04730630745445393,0.04730630745445393,configs/experiments/e3_memory_hubs_rsm_round6_multiheavy_seed311.yaml,40be2a89c9264e65730a6dd5921969adac3096b0b95ed715df8dc4f1dc4dc147,very_tight,1,low_load,3,high_gap
e3_memory_hubs_rsm_round6_multiheavy_seed311,4,4,4,2,1.508275032043457,2.9773643016815186,4.5824174880981445,4.864601135253906,24.86342491368702,23.046501664889426,True,24,21,0.875,97.3158666145799,99.59220184519104,2.2763352306111386,2,True,8.0,6.0,2.0,1.0,True,True,0.0,0.7116230883680181,1.0508135429016336,0.025909233228993956,0.042911445903616695,configs/experiments/e3_memory_hubs_rsm_round6_multiheavy_seed311.yaml,40be2a89c9264e65730a6dd5921969adac3096b0b95ed715df8dc4f1dc4dc147,very_tight,4,low_load,2,mid_gap
e3_memory_hubs_rsm_round6_multiheavy_seed311,5,2,4,3,1.6637059450149536,2.8441827297210693,4.2626543045043945,4.582538604736328,26.170275952720075,26.168007375876893,True,14,14,1.0,51.934500280266256,51.934500280266256,0.0,1,True,3.0,3.0,0.0,0.5,True,False,0.5,-0.7883736866910844,1.2644783702290887,-0.0301221643085018,0.04832414965761719,configs/experiments/e3_memory_hubs_rsm_round6_multiheavy_seed311.yaml,40be2a89c9264e65730a6dd5921969adac3096b0b95ed715df8dc4f1dc4dc147,critical,2,low_load,3,mid_gap
e3_memory_hubs_rsm_round6_multiheavy_seed311,6,1,4,2,1.4598153829574585,3.334303379058838,3.9815027713775635,4.24488639831543,25.433703825225212,25.433703825225212,True,6,6,1.0,22.309803103598547,22.309803103598547,0.0,0,False,3.0,3.0,0.0,1.0,True,True,0.0,3.8669592540553133,3.8669592540553133,0.15204074407047444,0.15204074407047444,configs/experiments/e3_memory_hubs_rsm_round6_multiheavy_seed311.yaml,40be2a89c9264e65730a6dd5921969adac3096b0b95ed715df8dc4f1dc4dc147,moderate,1,low_load,2,mid_gap
e3_memory_hubs_rsm_round6_multiheavy_seed311,7,3,4,3,1.3272192478179932,3.5599212646484375,4.62595272064209,4.942323684692383,26.79016013464634,24.26346436685219,True,21,20,0.9523809523809523,75.37442600230098,76.25902565040391,0.8845996481029346,1,True,5.0,3.0,2.0,1.0,True,True,0.0,1.2399968723720995,2.182518861091566,0.042425925794543254,0.08357285037305641,configs/experiments/e3_memory_hubs_rsm_round6_multiheavy_seed311.yaml,40be2a89c9264e65730a6dd5921969adac3096b0b95ed715df8dc4f1dc4dc147,very_tight,3,low_load,3,mid_gap
e3_memory_hubs_rsm_round6_multiheavy_seed311,8,4,4,3,1.9682273268699646,2.7101705074310303,4.158528804779053,4.483386993408203,26.82638906683193,21.79139686276447,True,29,28,0.9655172413793104,102.58338496931016,104.31689819144137,1.733513222131208,0,False,6.0,6.0,0.0,1.0,True,True,0.0,0.7808986484492024,1.6493281908807136,0.03583518089120503,0.060525201106697755,configs/experiments/e3_memory_hubs_rsm_round6_multiheavy_seed311.yaml,40be2a89c9264e65730a6dd5921969adac3096b0b95ed715df8dc4f1dc4dc147,very_tight,4,low_load,3,high_gap
e3_memory_hubs_rsm_round6_multiheavy_seed311,9,1,4,3,1.4749828577041626,1.558941125869751,2.6759591102600098,2.859787940979004,29.333063954421426,29.333063954421426,True,8,7,0.875,23.279076659141815,23.295847359129326,0.016770699987510795,0,False,3.0,3.0,0.0,1.0,True,True,0.0,7.219520368620273,7.219520368620273,0.24612227279898805,0.24612227279898805,configs/experiments/e3_memory_hubs_rsm_round6_multiheavy_seed311.yaml,40be2a89c9264e65730a6dd5921969adac3096b0b95ed715df8dc4f1dc4dc147,loose,1,low_load,3,mid_gap
