experiment,seed,gpu_hours,test_next_hop_accuracy,rollout_next_hop_accuracy,average_regret,p95_regret,deadline_miss_rate
e3_memory_hubs_rsm_round6_multiheavy_seed311,311,0.14922914014922248,0.9534313924172345,0.9517543859649122,1.5011754035949707,5.962328910827637,0.4375
e3_memory_hubs_rsm_round6_multiheavy_seed312,312,0.059672549565633136,0.9546568779384389,0.9453125,1.9167025089263916,5.445607662200928,0.4375
e3_memory_hubs_rsm_round6_multiheavy_seed313,313,0.151521375907792,0.9750000198682149,0.9685863874345549,0.5548397302627563,2.903914213180542,0.375
round6_multiheavy_mean,mean,0.12014102187421587,0.9610294300746295,0.9552177577998223,1.3242392142613728,4.770616928736369,0.4166666666666667
