min_regret_gain,committee_support,decisions,share_of_hard_near_tie,mean_gain,coarse_signature_count
0.1,1,46,0.02116889093419236,2.7310027039569356,12
0.1,2,30,0.013805798435342844,2.5168744723002114,9
0.25,1,46,0.02116889093419236,2.7310027039569356,12
0.25,2,30,0.013805798435342844,2.5168744723002114,9
0.5,1,45,0.020708697653014266,2.78153444925944,12
0.5,2,30,0.013805798435342844,2.5168744723002114,9
0.75,1,41,0.018867924528301886,2.9885952181932405,10
0.75,2,26,0.011965025310630465,2.802676457625169,7
