experiment,stage,bucket,notes,device,num_communities,tree_depth_min,tree_depth_max,branching_factor,packets_max,queue_low,queue_high,queue_penalty,capacity_penalty,urgency_penalty,decision_loss,test_next_hop_accuracy,value_mae,value_rmse,rollout_solved_rate,rollout_next_hop_accuracy,average_regret,p95_regret,worst_regret,deadline_violations,deadline_miss_rate,p95_deadline_violations,priority_delivered_regret
a0_e3_ood_branching3_round4_eval,scout,exploit,round4 oracle-feasible OOD stress for E3 on higher branching and queue load,cuda:0,4,2,3,3,6,1.5,7.0,0.35,2.5,1.2,1.9181748123108586,0.9614979089060917,2.303178014634531,2.8440665444241295,1.0,0.9135559921414538,6.865077018737793,15.544229507446289,20.582395553588867,2.5625,1.0,4.0,2.0
a0_e3_ood_deeper_packets6_round4_eval,scout,exploit,round4 oracle-feasible OOD stress for E3 on deeper trees and more packets,cuda:0,4,3,4,2,6,1.0,6.0,0.35,2.5,1.2,5.331729143030113,0.9657118055555556,3.7205047408739724,4.796384215354919,1.0,0.9586466165413534,3.4164037704467773,9.192599296569824,9.273791313171387,1.375,0.875,3.0,0.6875
a0_e3_ood_heavy_dynamic_round4_eval,scout,exploit,round4 oracle-feasible OOD stress for E3 on deeper queues and stronger congestion penalties,cuda:0,4,3,4,2,8,2.5,8.0,0.45,3.0,1.4,30.48874146270752,0.9700000205039978,10.104644239425658,11.982117218017578,1.0,0.9300411522633745,8.362306594848633,29.44192123413086,38.381290435791016,2.875,1.0,6.0,1.6875
