group,label,budget_pct,stable_positive_recall,system_target_match,hard_mean_delta_regret,overall_mean_delta_regret,overall_mean_delta_miss
branch_source,dual_only,0.75,0.25,0.905977165883143,-0.0018522737809201,-0.0032526686432366,-0.0001151675688126
branch_source,shared_only,0.75,0.0,0.9053055742108798,0.0,0.0,0.0
branch_source,shared_plus_dual_branchwise_max,0.75,0.6666666666666666,0.9052612033134293,-0.0063538988612739,-0.0136858548592878,-0.00023020257826885
branch_source,dual_only,1.0,0.25,0.905977165883143,-0.0018522737809201,-0.0032526686432366,-0.0001151675688126
branch_source,shared_only,1.0,0.0,0.9053055742108798,0.0,-0.0011635870067504,0.0
branch_source,shared_plus_dual_branchwise_max,1.0,0.8333333333333333,0.9060222383210397,-0.00900136263221725,-0.014472873105311,-0.00023020257826885
branch_source,dual_only,1.5,0.25,0.905977165883143,-0.0018522737809201,-0.0032526686432366,-0.0001151675688126
branch_source,shared_only,1.5,0.0,0.9053055742108798,0.0,-0.00207799054587,0.0
branch_source,shared_plus_dual_branchwise_max,1.5,0.8333333333333333,0.9060222383210397,-0.00900136263221725,-0.0158613185091457,-0.00023020257826885
branch_source,dual_only,2.0,0.25,0.905977165883143,-0.0018522737809201,-0.0032526686432366,-0.0001151675688126
branch_source,shared_only,2.0,0.0,0.9053055742108798,0.0,-0.0026640575162471,0.0
branch_source,shared_plus_dual_branchwise_max,2.0,1.0,0.90678327332865,-0.010151794330532999,-0.01671719527174505,-0.00023020257826885
calibration,branch_calibrated_sharp,0.75,0.5,0.9045001683058189,-0.004254937171936,-0.0113701307517121,-0.00023020257826885
calibration,branch_strength_sharp,0.75,0.6666666666666666,0.9052612033134293,-0.0069024009428793,-0.0138240963144081,-0.00023020257826885
calibration,branchwise_margin_max,0.75,0.6666666666666666,0.9052612033134293,-0.0069024009428793,-0.013074339282226899,-0.00023020257826885
calibration,learned_gate_sharp,0.75,0.5,0.9045001683058189,-0.004254937171936,-0.01301834525852385,-0.00023020257826885
