episode_index,packet_index,packet_order_rank,packet_count,curriculum_level,max_tree_depth,packet_priority,packet_deadline,reference_cost,oracle_realized_cost,oracle_remaining_deadline,oracle_initial_slack,has_on_time_feasible_route,oracle_deadline_missed,suite,config_path,split,manifest_hash
10,0,0,1,single_dynamic,3,3.0,16.328408693292054,33.375288944619435,34.142431166901446,0.0,-17.04688025132738,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
11,1,0,4,multi_dynamic,3,3.0,12.67053220981482,38.74133400753213,39.825061460035215,0.0,-26.070801797717312,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
11,0,1,4,multi_dynamic,3,1.0,8.770194731289227,34.592163631471074,34.90606490276104,0.0,-25.821968900181847,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
11,2,2,4,multi_dynamic,3,1.0,12.15275117625421,37.28343222471226,37.61931987526272,0.0,-25.130681048458047,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
11,3,3,4,multi_dynamic,3,1.0,13.680768167100375,28.78575916054017,29.06253490803276,0.0,-15.104990993439795,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
12,0,0,1,single_dynamic,3,1.0,9.695442177932112,26.42696333341956,26.718056518234924,0.0,-16.73152115548745,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
13,1,0,4,multi_dynamic,3,3.0,11.65191844681208,40.291377515901395,41.11613627912601,0.0,-28.639459069089312,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
13,0,1,4,multi_dynamic,3,1.0,11.574989811797206,29.65029841265804,29.94086277576642,0.0,-18.075308600860833,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
13,3,2,4,multi_dynamic,3,1.0,15.168142004440002,20.113208120021646,20.39673910789942,0.0,-4.945066115581644,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
13,2,3,4,multi_dynamic,3,1.0,17.47011629601098,34.746014279253636,35.1110891897026,0.0,-17.275897983242658,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
