family,variant,split,budget_pct,slice,decisions,selected_count,coverage,stable_positive_total,stable_positive_selected,stable_positive_recall,defer_precision,false_positive_rate,harmful_selection_rate,false_positive_correction_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,p95_delta_regret,selected_mean_delta_regret,selected_p95_delta_regret,mean_delta_miss,selected_mean_delta_miss,selected_disagreement,score_mean,score_p95,label
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,1.25,overall,4344,53,0.01220073664825046,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9677716390423573,0.9680018416206262,-0.0024998455855508315,0.0,-0.20489300421948703,0.0,-0.00023020257826887662,-0.018867924528301886,0.00023020257826887662,-3.8172274802497466,-0.6109696500000007,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,1.25,stable_positive_v2,1,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19739354,-0.19739354,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,1.25,stable_positive_v2_committee,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,1.25,hard_near_tie,832,12,0.014423076923076924,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9158653846153846,0.9158653846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.228755213846155,-2.3258973550000044,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,1.25,stable_near_tie,810,12,0.014814814814814815,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9246913580246914,0.9246913580246914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.239620127925926,-2.2835121550000004,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,1.25,high_headroom_near_tie,35,12,0.34285714285714286,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23926816057142852,0.7576969979999998,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,1.25,baseline_error_near_tie,71,12,0.16901408450704225,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.806778338309859,0.7021005250000001,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,1.25,large_gap_control,951,5,0.005257623554153523,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9978969505783386,0.9978969505783386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.948521179590431,-1.03370585,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,1.5,overall,4344,53,0.01220073664825046,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9677716390423573,0.9680018416206262,-0.0024998455855508315,0.0,-0.20489300421948703,0.0,-0.00023020257826887662,-0.018867924528301886,0.00023020257826887662,-3.8172274802497466,-0.6109696500000007,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,1.5,stable_positive_v2,1,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19739354,-0.19739354,memory_agree_blend_hybrid
