slice,decisions,episodes,baseline_error_rate,mean_regret_headroom,p95_regret_headroom,deadline_rescue_rate,effective_tie_rate
hard_feasible,1491,85,0.02749832327297116,1.6382498159641172,4.216958999633789,0.0,0.01341381623071764
oracle_near_tie,716,85,0.05446927374301676,1.4666570516733022,3.0970580101013194,0.0,0.027932960893854747
model_near_tie,555,85,0.07387387387387387,1.6382498159641172,4.216958999633789,0.0,0.036036036036036036
hard_near_tie_intersection,419,85,0.09307875894988067,1.4666570516733022,3.0970580101013194,0.0,0.0477326968973747
baseline_error_intersection,39,25,1.0,1.4666570516733022,3.0970580101013194,0.0,0.1794871794871795
large_gap_control,679,35,0.0029455081001472753,4.98430871963501,4.985743379592895,0.0,0.0
