seed,variant,experiment,test_next_hop_accuracy,average_regret,p95_regret,deadline_miss_rate,gpu_hours
311,Multiheavy,e3_memory_hubs_rsm_round4_multiheavy_seed311,0.9522059033898747,1.5011754035949707,5.962328910827637,0.4375,0.07058892495102352
311,Multiheavy+DeadlineHead,a2_e3_multiheavy_deadline_head_round4_seed311,0.9534313924172345,1.5011754035949707,5.962328910827637,0.4375,0.14072038306130302
mean,Multiheavy,Multiheavy-mean,0.9522059033898747,1.5011754035949707,5.962328910827637,0.4375,0.07058892495102352
mean,Multiheavy+DeadlineHead,Multiheavy+DeadlineHead-mean,0.9534313924172345,1.5011754035949707,5.962328910827637,0.4375,0.14072038306130302
