seed,suite,variant,average_regret,p95_regret,deadline_miss_rate,rollout_next_hop_accuracy
311,branching3,Multiheavy,6.947886943817139,15.544229507446287,1.0,0.911591355599214
311,deeper_packets6,Multiheavy,3.6074914932250977,9.192599296569824,0.875,0.9530075187969924
311,heavy_dynamic,Multiheavy,6.616677284240723,24.66388702392578,1.0,0.9396433470507544
311,branching3,Multiheavy+PathReranker,5.177269458770752,14.101820945739746,1.0,0.9332023575638508
311,deeper_packets6,Multiheavy+PathReranker,78.32154083251953,332.0568542480469,0.875,0.88125
311,heavy_dynamic,Multiheavy+PathReranker,26.56369400024414,158.5047607421875,0.9375,0.9392338177014532
312,branching3,Multiheavy,6.8422465324401855,15.544229507446287,1.0,0.9135559921414538
312,deeper_packets6,Multiheavy,4.278659820556641,11.714221954345703,0.875,0.9569288389513108
312,heavy_dynamic,Multiheavy,11.095745086669922,29.44192123413086,1.0,0.926530612244898
312,branching3,Multiheavy+PathReranker,4.947667598724365,11.805601119995115,1.0,0.9332023575638508
312,deeper_packets6,Multiheavy+PathReranker,530.8320922851562,2120.791748046875,0.875,0.7641921397379913
312,heavy_dynamic,Multiheavy+PathReranker,9.778301239013672,33.41265869140625,0.9375,0.9510204081632652
313,branching3,Multiheavy,6.865077018737793,15.544229507446287,1.0,0.9135559921414538
313,deeper_packets6,Multiheavy,3.4164037704467773,9.192599296569824,0.875,0.9586466165413534
313,heavy_dynamic,Multiheavy,8.362306594848633,29.44192123413086,1.0,0.9300411522633744
313,branching3,Multiheavy+PathReranker,4.985918045043945,12.641508102416992,1.0,0.9351669941060904
313,deeper_packets6,Multiheavy+PathReranker,3.4164037704467773,9.192599296569824,0.875,0.9586466165413534
313,heavy_dynamic,Multiheavy+PathReranker,5.072554111480713,13.216791152954102,0.9375,0.953360768175583
mean,branching3,Multiheavy,6.885070164998372,15.544229507446287,1.0,0.9129011132940406
mean,branching3,Multiheavy+PathReranker,5.0369517008463545,12.849643389383951,1.0,0.9338572364112641
mean,deeper_packets6,Multiheavy,3.7675183614095054,10.033140182495117,0.875,0.9561943247632189
mean,deeper_packets6,Multiheavy+PathReranker,204.19001229604086,820.6804005304972,0.875,0.8680295854264483
mean,heavy_dynamic,Multiheavy,8.69157632191976,27.8492431640625,1.0,0.9320717038530089
mean,heavy_dynamic,Multiheavy+PathReranker,13.804849783579508,68.37807019551595,0.9375,0.9478716646801004
mean,overall,Multiheavy,6.448054949442546,17.808870951334637,0.9583333333333334,0.9337223806367559
mean,overall,Multiheavy+PathReranker,74.34393792682224,300.6360380384657,0.9375,0.9165861621726042
