category,decisions,mean_best_safe_teacher_gain,mean_selection_events,mean_model_family_count,mean_source_run_count
dead_noisy_positive,837,0.0,6.31063321385902,1.3584229390681004,1.4050179211469533
stable_positive_v3,4,3.707171440124512,35.5,3.25,2.5
unstable_positive,31,4.228338641505087,40.516129032258064,3.3225806451612905,2.935483870967742
useful_hard_negative,71,0.0,24.788732394366196,2.591549295774648,2.7464788732394365
