seed,suite,variant,average_regret,p95_regret,deadline_miss_rate,rollout_next_hop_accuracy
311,branching3,Multiheavy,6.947886943817139,15.544229507446287,1.0,0.911591355599214
311,deeper_packets6,Multiheavy,3.6074914932250977,9.192599296569824,0.875,0.9530075187969924
311,heavy_dynamic,Multiheavy,6.616677284240723,24.66388702392578,1.0,0.9396433470507544
311,branching3,Multiheavy+GatedPathReranker,3.3645925521850586,8.03805160522461,0.6875,0.9201388888888888
311,deeper_packets6,Multiheavy+GatedPathReranker,2.767604351043701,10.681928634643556,0.5625,0.9575070821529744
311,heavy_dynamic,Multiheavy+GatedPathReranker,3.816530466079712,10.711524963378906,0.1875,0.9153225806451613
312,branching3,Multiheavy,6.8422465324401855,15.544229507446287,1.0,0.9135559921414538
312,deeper_packets6,Multiheavy,4.278659820556641,11.714221954345703,0.875,0.9569288389513108
312,heavy_dynamic,Multiheavy,11.095745086669922,29.44192123413086,1.0,0.926530612244898
312,branching3,Multiheavy+GatedPathReranker,1.98437774181366,7.951625823974609,0.5625,0.9453125
312,deeper_packets6,Multiheavy+GatedPathReranker,1199.2330322265625,4797.2001953125,0.75,0.6901408450704225
312,heavy_dynamic,Multiheavy+GatedPathReranker,2.4201431274414062,11.271291732788086,0.3125,0.9212962962962964
mean,branching3,Multiheavy,6.895066738128662,15.544229507446287,1.0,0.9125736738703338
mean,branching3,Multiheavy+GatedPathReranker,2.674485146999359,7.994838714599609,0.625,0.9327256944444444
mean,deeper_packets6,Multiheavy,3.943075656890869,10.453410625457764,0.875,0.9549681788741515
mean,deeper_packets6,Multiheavy+GatedPathReranker,601.0003182888031,2403.941061973572,0.65625,0.8238239636116984
mean,heavy_dynamic,Multiheavy,8.856211185455322,27.05290412902832,1.0,0.9330869796478262
mean,heavy_dynamic,Multiheavy+GatedPathReranker,3.118336796760559,10.991408348083496,0.25,0.9183094384707289
mean,overall,Multiheavy,6.564784526824951,17.68351475397746,0.9583333333333334,0.9335429441307705
mean,overall,Multiheavy+GatedPathReranker,202.264380077521,807.6424363454183,0.5104166666666666,0.8916196988422906
