variant,budget_pct,slice,decisions,coverage,defer_precision,false_positive_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,mean_delta_miss,selected_disagreement,average_outer_steps,compute_multiplier,runtime_proxy_multiplier
margin_regime,0.25,overall,8683,0.00253368651387763,0.045480719902002864,0.0,0.00011516756881258403,0.0,0.9651042266497755,0.966140734769089,-0.00766849375040203,-0.0002303351376252181,0.0010365081193135577,3.0050673730277553,1.0016891243425852,1.0016891243425852
margin_regime,0.25,stable_positive_pack,4,0.25,0.25,0.0,0.25,0.0,0.0,0.25,-1.7700538635253906,-0.25,0.25,3.5,1.1666666666666667,1.1666666666666667
margin_regime,0.25,hard_near_tie,1489,0.0020147750167897748,0.18625475710767853,0.0,0.000671591672263221,0.0,0.9053055742108798,0.905977165883143,-0.004755013736804233,-0.000671591672263221,0.000671591672263221,3.0040295500335796,1.0013431833445265,1.0013431833445265
margin_regime,0.25,stable_near_tie,1436,0.0020891364902506943,0.18802228412256267,0.0,0.0006963788300835272,0.0,0.9171309192200557,0.9178272980501393,-0.0049305121546668156,-0.0006963788300835272,0.0006963788300835272,3.0041782729805013,1.001392757660167,1.001392757660167
margin_regime,0.25,high_headroom_near_tie,70,0.04285714285714285,0.16666666666666666,0.0,0.01428571428571425,0.0,0.0,0.01428571428571425,-0.10114593505859375,-0.01428571428571425,0.01428571428571425,3.085714285714286,1.0285714285714287,1.0285714285714287
margin_regime,0.25,baseline_error_near_tie,144,0.0208333333333333,0.16435185185185183,0.0,0.0069444444444444345,0.0,0.020833333333333325,0.02777777777777776,-0.04916816287570527,-0.0069444444444444345,0.0069444444444444345,3.0416666666666665,1.0138888888888888,1.0138888888888888
margin_regime,0.25,large_gap_control,1921,0.0020822488287349826,0.0,0.0,0.0,0.0,0.9979177511712649,0.9989588755856325,-0.006544512302412547,0.0,0.00104112441436747,3.00416449765747,1.0013881658858235,1.0013881658858235
margin_regime,0.5,overall,8683,0.005067373027755309,0.022740359951001408,0.0,0.00011516756881258403,0.0,0.9651042266497755,0.9668317401819647,-0.010555144321749543,-0.0002303351376252181,0.001727513532189306,3.0101347460555106,1.0033782486851701,1.0033782486851701
margin_regime,0.5,stable_positive_pack,4,0.25,0.25,0.0,0.25,0.0,0.0,0.25,-1.7700538635253906,-0.25,0.25,3.5,1.1666666666666667,1.1666666666666667
margin_regime,0.5,hard_near_tie,1489,0.007387508394895895,0.06984553391537945,0.0,0.000671591672263221,0.0,0.9053055742108798,0.905977165883143,-0.004755013736804233,-0.000671591672263221,0.000671591672263221,3.014775016789792,1.0049250055965973,1.0049250055965973
margin_regime,0.5,stable_near_tie,1436,0.007660167130919193,0.070508356545961,0.0,0.0006963788300835272,0.0,0.9171309192200557,0.9178272980501393,-0.0049305121546668156,-0.0006963788300835272,0.0006963788300835272,3.015320334261838,1.0051067780872793,1.0051067780872793
