suite,decisions,overall_disagreement,hard_feasible_disagreement,large_gap_hard_feasible_disagreement,hard_near_tie_disagreement,candidate_target_match,base_target_match
a1_multiheavy_ood_branching3_round7_eval,24,0.0,0.0,0.0,0.0,1.0,1.0
a1_multiheavy_ood_deeper_packets6_round7_eval,50,0.08,0.08,0.07692307692307693,0.06666666666666667,0.9,0.98
a1_multiheavy_ood_heavy_dynamic_round7_eval,35,0.0,0.0,0.0,0.0,0.9428571428571428,0.9428571428571428
