suite,packet_count,mean_packet_count,mean_tree_depth,oracle_deadline_miss_rate,on_time_feasible_fraction,oracle_initial_slack_p50,oracle_initial_slack_p95,oracle_cost_p50,oracle_cost_p95,fully_feasible_episode_fraction,any_feasible_episode_fraction,oracle_episode_miss_rate,config_path,split,manifest_hash
a1_e3_ood_branching3_eval,263,4.6273764258555135,2.9809885931558937,1.0,0.0,-28.717275631597552,-14.487175581023394,42.60188384465529,64.74716334720588,0.0,0.0,1.0,configs/experiments/a1_e3_ood_branching3_eval.yaml,test,b4b591a1caa521afeb06c871e25ceda1436bf75f198a15ef2e9cf77e29d58df1
a1_e3_ood_deeper_packets6_eval,251,4.434262948207171,3.9800796812749004,1.0,0.0,-40.14395761930318,-21.542319611630845,53.1185863478947,76.90122993862114,0.0,0.0,1.0,configs/experiments/a1_e3_ood_deeper_packets6_eval.yaml,test,57c890c833f05b179f3e5b0609dca2638a0f352482f2870a5e5e20104c14209e
a1_e3_ood_heavy_dynamic_eval,349,6.203438395415473,3.9226361031518624,1.0,0.0,-56.011928615021105,-37.14219737402299,68.67816583740466,97.26473705474352,0.0,0.0,1.0,configs/experiments/a1_e3_ood_heavy_dynamic_eval.yaml,test,2c860980c74d91323ad86412fd6c5413773dcac33bdd2b64915e5621d68095e4
e3_memory_hubs_rsm_round3_seed211,89,2.6179775280898876,2.9887640449438204,1.0,0.0,-20.455704079486434,-6.527606736054928,33.05613187006395,53.07613962222725,0.0,0.0,1.0,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
