variant,config,best_epoch,best_selection_score,test_next_hop_accuracy,test_selection_accuracy,average_regret,p95_regret,deadline_miss_rate,average_deadline_violations,slack_mae,on_time_brier,quantile_median_mae
E3,e3_memory_hubs_rsm_round4_seed311,3,0.8270316071667198,0.956446260213852,0.956446260213852,1.2639447450637815,7.503976821899414,0.5,0.6875,0.0,0.0,0.0
A2,a2_e3_deadline_head_round4_seed311,4,0.8275925056724442,0.9547101457913716,0.9547101457913716,1.2639447450637815,7.503976821899414,0.5,0.6875,2.9103593031565347,0.0701534658049543,2.9954566756884256
A4,a4_e3_verifier_refine_round4_seed311,4,0.8122727006942845,0.956446260213852,0.956446260213852,1.2639447450637815,7.503976821899414,0.5,0.6875,3.732735256354014,0.068234762797753,3.681657493114472
B1,b1_e3_hazard_memory_round4_seed311,2,0.8270205839745098,0.956446260213852,0.956446260213852,1.2639447450637815,7.503976821899414,0.5,0.6875,0.0,0.0,0.0
