variant,test_next_hop_accuracy,value_mae,average_regret,p95_regret,deadline_miss_rate
X6 full,0.9679487347602844,5.514669895172119,2.5730624198913574,8.204767227172852,1.0
X6 H1,0.9679487347602844,5.422473393953764,2.5730624198913574,8.204767227172852,1.0
X6 dense,0.9679487347602844,4.961976729906523,2.5730624198913574,8.204767227172852,1.0
