variant,scope,split,budget_pct,slice,decisions,coverage,flip_precision,false_flip_rate,correction_rate,new_error_rate,base_target_match,policy_target_match,mean_delta_regret,mean_delta_miss,selected_disagreement
frozen,broad,round11_feature_cache_seed315,5.0,hard_near_tie,832,0.0,0.0,0.0,0.0,0.0,0.9158653846153846,0.9158653846153846,-2.4380370852514423e-16,0.0,0.0
frozen,broad,round11_feature_cache_seed315,5.0,stable_near_tie,810,0.0,0.0,0.0,0.0,0.0,0.9246913580246914,0.9246913580246914,-2.378070305832897e-16,0.0,0.0
frozen,broad,round11_feature_cache_seed315,5.0,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.743037625879099e-16,0.0,0.0
frozen,broad,round11_feature_cache_seed315,5.0,baseline_error_near_tie,71,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.014084507042253521,-2.737442510541429e-16,0.0,0.0
frozen,broad,round11_feature_cache_seed315,5.0,large_gap_control,951,0.0,0.0,0.0,0.0,0.0,0.9978969505783386,0.9978969505783386,-4.856496090894481e-17,0.0,0.0
frozen,broad,round11_feature_cache_seed316,0.25,overall,4339,0.0,0.0,0.0,0.0,0.0,0.9624337404932012,0.9645079511408159,-0.009345627402512062,0.0,0.0
frozen,broad,round11_feature_cache_seed316,0.25,stable_positive_pack,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,-1.4232343037923183,0.0,0.0
frozen,broad,round11_feature_cache_seed316,0.25,hard_near_tie,657,0.0,0.0,0.0,0.0,0.0,0.8919330289193302,0.8904109589041096,0.008223018326897098,0.0,0.0
frozen,broad,round11_feature_cache_seed316,0.25,stable_near_tie,626,0.0,0.0,0.0,0.0,0.0,0.9073482428115016,0.9057507987220448,0.00863022849963481,0.0,0.0
frozen,broad,round11_feature_cache_seed316,0.25,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,-0.12199151175362728,0.0,0.0
frozen,broad,round11_feature_cache_seed316,0.25,baseline_error_near_tie,73,0.0,0.0,0.0,0.0,0.0,0.0273972602739726,0.0547945205479452,-0.05848908097776648,0.0,0.0
frozen,broad,round11_feature_cache_seed316,0.25,large_gap_control,970,0.0,0.0,0.0,0.0,0.0,0.9979381443298969,1.0,-0.012960833126736673,0.0,0.0
frozen,broad,round11_feature_cache_seed316,0.5,overall,4339,0.0,0.0,0.0,0.0,0.0,0.9624337404932012,0.9645079511408159,-0.009345627402512062,0.0,0.0
frozen,broad,round11_feature_cache_seed316,0.5,stable_positive_pack,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,-1.4232343037923183,0.0,0.0
frozen,broad,round11_feature_cache_seed316,0.5,hard_near_tie,657,0.0,0.0,0.0,0.0,0.0,0.8919330289193302,0.8904109589041096,0.008223018326897098,0.0,0.0
frozen,broad,round11_feature_cache_seed316,0.5,stable_near_tie,626,0.0,0.0,0.0,0.0,0.0,0.9073482428115016,0.9057507987220448,0.00863022849963481,0.0,0.0
frozen,broad,round11_feature_cache_seed316,0.5,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,-0.12199151175362728,0.0,0.0
frozen,broad,round11_feature_cache_seed316,0.5,baseline_error_near_tie,73,0.0,0.0,0.0,0.0,0.0,0.0273972602739726,0.0547945205479452,-0.05848908097776648,0.0,0.0
frozen,broad,round11_feature_cache_seed316,0.5,large_gap_control,970,0.0,0.0,0.0,0.0,0.0,0.9979381443298969,1.0,-0.012960833126736673,0.0,0.0
frozen,broad,round11_feature_cache_seed316,1.0,overall,4339,0.0,0.0,0.0,0.0,0.0,0.9624337404932012,0.9645079511408159,-0.009345627402512062,0.0,0.0
frozen,broad,round11_feature_cache_seed316,1.0,stable_positive_pack,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,-1.4232343037923183,0.0,0.0
frozen,broad,round11_feature_cache_seed316,1.0,hard_near_tie,657,0.0,0.0,0.0,0.0,0.0,0.8919330289193302,0.8904109589041096,0.008223018326897098,0.0,0.0
frozen,broad,round11_feature_cache_seed316,1.0,stable_near_tie,626,0.0,0.0,0.0,0.0,0.0,0.9073482428115016,0.9057507987220448,0.00863022849963481,0.0,0.0
frozen,broad,round11_feature_cache_seed316,1.0,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,-0.12199151175362728,0.0,0.0
frozen,broad,round11_feature_cache_seed316,1.0,baseline_error_near_tie,73,0.0,0.0,0.0,0.0,0.0,0.0273972602739726,0.0547945205479452,-0.05848908097776648,0.0,0.0
frozen,broad,round11_feature_cache_seed316,1.0,large_gap_control,970,0.0,0.0,0.0,0.0,0.0,0.9979381443298969,1.0,-0.012960833126736673,0.0,0.0
frozen,broad,round11_feature_cache_seed316,2.0,overall,4339,0.0,0.0,0.0,0.0,0.0,0.9624337404932012,0.9645079511408159,-0.009345627402512062,0.0,0.0
frozen,broad,round11_feature_cache_seed316,2.0,stable_positive_pack,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,-1.4232343037923183,0.0,0.0
frozen,broad,round11_feature_cache_seed316,2.0,hard_near_tie,657,0.0,0.0,0.0,0.0,0.0,0.8919330289193302,0.8904109589041096,0.008223018326897098,0.0,0.0
frozen,broad,round11_feature_cache_seed316,2.0,stable_near_tie,626,0.0,0.0,0.0,0.0,0.0,0.9073482428115016,0.9057507987220448,0.00863022849963481,0.0,0.0
frozen,broad,round11_feature_cache_seed316,2.0,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,-0.12199151175362728,0.0,0.0
frozen,broad,round11_feature_cache_seed316,2.0,baseline_error_near_tie,73,0.0,0.0,0.0,0.0,0.0,0.0273972602739726,0.0547945205479452,-0.05848908097776648,0.0,0.0
frozen,broad,round11_feature_cache_seed316,2.0,large_gap_control,970,0.0,0.0,0.0,0.0,0.0,0.9979381443298969,1.0,-0.012960833126736673,0.0,0.0
frozen,broad,round11_feature_cache_seed316,5.0,overall,4339,0.0,0.0,0.0,0.0,0.0,0.9624337404932012,0.9645079511408159,-0.009345627402512062,0.0,0.0
frozen,broad,round11_feature_cache_seed316,5.0,stable_positive_pack,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,-1.4232343037923183,0.0,0.0
frozen,broad,round11_feature_cache_seed316,5.0,hard_near_tie,657,0.0,0.0,0.0,0.0,0.0,0.8919330289193302,0.8904109589041096,0.008223018326897098,0.0,0.0
frozen,broad,round11_feature_cache_seed316,5.0,stable_near_tie,626,0.0,0.0,0.0,0.0,0.0,0.9073482428115016,0.9057507987220448,0.00863022849963481,0.0,0.0
frozen,broad,round11_feature_cache_seed316,5.0,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,-0.12199151175362728,0.0,0.0
frozen,broad,round11_feature_cache_seed316,5.0,baseline_error_near_tie,73,0.0,0.0,0.0,0.0,0.0,0.0273972602739726,0.0547945205479452,-0.05848908097776648,0.0,0.0
frozen,broad,round11_feature_cache_seed316,5.0,large_gap_control,970,0.0,0.0,0.0,0.0,0.0,0.9979381443298969,1.0,-0.012960833126736673,0.0,0.0
frozen,narrow,round11_feature_cache_seed315,0.25,overall,4344,0.0,0.0,0.0,0.0,0.0,0.9677716390423573,0.9675414364640884,0.001802172669609081,0.0,0.0
frozen,narrow,round11_feature_cache_seed315,0.25,stable_positive_pack,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frozen,narrow,round11_feature_cache_seed315,0.25,hard_near_tie,832,0.0,0.0,0.0,0.0,0.0,0.9158653846153846,0.9158653846153846,-2.4380370852514423e-16,0.0,0.0
frozen,narrow,round11_feature_cache_seed315,0.25,stable_near_tie,810,0.0,0.0,0.0,0.0,0.0,0.9246913580246914,0.9246913580246914,-2.378070305832897e-16,0.0,0.0
frozen,narrow,round11_feature_cache_seed315,0.25,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.743037625879099e-16,0.0,0.0
frozen,narrow,round11_feature_cache_seed315,0.25,baseline_error_near_tie,71,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.014084507042253521,-2.737442510541429e-16,0.0,0.0
frozen,narrow,round11_feature_cache_seed315,0.25,large_gap_control,951,0.0,0.0,0.0,0.0,0.0,0.9978969505783386,0.9978969505783386,-4.856496090894481e-17,0.0,0.0
frozen,narrow,round11_feature_cache_seed315,0.5,overall,4344,0.0,0.0,0.0,0.0,0.0,0.9677716390423573,0.9675414364640884,0.001802172669609081,0.0,0.0
