suite,packet_count,oracle_deadline_miss_rate,on_time_feasible_fraction,oracle_initial_slack_mean,oracle_cost_mean
a0_e3_ood_branching3_round4_eval,21,0.2857142857142857,0.9047619047619048,1.525872972275471,28.57047080707404
a0_e3_ood_branching3_round4_eval,22,0.18181818181818182,1.0,1.193000726656062,24.04650010898198
a0_e3_ood_branching3_round4_eval,60,0.2833333333333333,0.9,1.542956679164954,28.854622747322242
a0_e3_ood_branching3_round4_eval,72,0.16666666666666666,0.9722222222222222,1.7553744933324968,28.120622880900086
a0_e3_ood_branching3_round4_eval,96,0.2604166666666667,0.9479166666666666,1.700269243725666,29.960177224702193
a0_e3_ood_deeper_packets6_round4_eval,26,0.2692307692307692,1.0,2.320837619505977,31.581405923594346
a0_e3_ood_deeper_packets6_round4_eval,28,0.32142857142857145,0.9642857142857143,2.1325229496830427,33.78622969009724
a0_e3_ood_deeper_packets6_round4_eval,54,0.24074074074074073,0.9629629629629629,2.143638549163389,31.30614303644068
a0_e3_ood_deeper_packets6_round4_eval,65,0.24615384615384617,0.9076923076923077,2.227249367395264,34.55949203370301
a0_e3_ood_deeper_packets6_round4_eval,78,0.21794871794871795,0.8974358974358975,2.2714762103720467,35.30246445913375
a0_e3_ood_heavy_dynamic_round4_eval,18,0.6111111111111112,0.9444444444444444,1.02270256887189,41.67430296595067
a0_e3_ood_heavy_dynamic_round4_eval,21,0.2857142857142857,0.9523809523809523,1.6499427214804065,40.92190710805737
a0_e3_ood_heavy_dynamic_round4_eval,32,0.375,0.875,2.074694612800002,45.73908669254856
a0_e3_ood_heavy_dynamic_round4_eval,35,0.22857142857142856,0.9142857142857143,2.696162212610561,50.63785099505516
a0_e3_ood_heavy_dynamic_round4_eval,40,0.3,0.925,2.2640986928329623,47.456339588229
a0_e3_ood_heavy_dynamic_round4_eval,90,0.3333333333333333,0.8888888888888888,2.0655960689907458,45.681644915201275
a0_e3_ood_heavy_dynamic_round4_eval,96,0.3541666666666667,0.8854166666666666,2.09491625420702,46.51559040968318
e3_memory_hubs_rsm_round4_seed311,9,0.4444444444444444,0.8888888888888888,1.1718720366245745,26.504773361687302
e3_memory_hubs_rsm_round4_seed311,16,0.125,1.0,2.8235591741181,21.832700001138832
e3_memory_hubs_rsm_round4_seed311,28,0.07142857142857142,0.9642857142857143,2.2670657752235135,22.324991864729082
e3_memory_hubs_rsm_round4_seed311,30,0.16666666666666666,1.0,1.6407801555480586,22.232519806258264
