variant,budget_pct,slice,decisions,coverage,defer_precision,false_positive_rate,harmful_selection_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,mean_delta_miss
prototype_support_weighted_hybrid,0.1,baseline_error_near_tie,144.0,0.013888888888888888,0.2465277777777778,0.2465277777777778,0.0,0.006944444444444444,0.0,0.020833333333333332,0.027777777777777776,-0.049168162875705294,-0.006944444444444444
prototype_support_weighted_hybrid,0.1,hard_near_tie,1489.0,0.001343183344526528,0.2793821356615178,0.2793821356615178,0.0,0.000671591672263264,0.0,0.9053055742108798,0.905977165883143,-0.004755013736804273,-0.000671591672263264
prototype_support_weighted_hybrid,0.1,high_headroom_near_tie,70.0,0.02857142857142857,0.25,0.25,0.0,0.014285714285714285,0.0,0.0,0.014285714285714285,-0.10114593505859375,-0.014285714285714285
prototype_support_weighted_hybrid,0.1,large_gap_control,1921.0,0.001041124414367517,0.0,1.0,0.0,0.0,0.0,0.9979177511712649,0.9984383133784487,-0.0035865849222384786,0.0
prototype_support_weighted_hybrid,0.1,overall,8683.0,0.0011516756881262238,0.10005758378440632,0.8999424162155938,0.0,0.00011516756881262236,0.0,0.9651042266497755,0.9657952320626512,-0.005653791241995629,-0.00023033513762524472
prototype_support_weighted_hybrid,0.1,stable_positive_v2,4.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,-1.7700538635253906,-0.25
prototype_support_weighted_hybrid,0.1,stable_positive_v2_committee,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prototype_support_weighted_hybrid,0.25,baseline_error_near_tie,144.0,0.013888888888888888,0.2465277777777778,0.2465277777777778,0.0,0.006944444444444444,0.0,0.020833333333333332,0.027777777777777776,-0.049168162875705294,-0.006944444444444444
prototype_support_weighted_hybrid,0.25,hard_near_tie,1489.0,0.0033579583613163196,0.11175285426460713,0.4470114170584285,0.0,0.000671591672263264,0.0,0.9053055742108798,0.905977165883143,-0.004755013736804273,-0.000671591672263264
prototype_support_weighted_hybrid,0.25,high_headroom_near_tie,70.0,0.02857142857142857,0.25,0.25,0.0,0.014285714285714285,0.0,0.0,0.014285714285714285,-0.10114593505859375,-0.014285714285714285
