seed,suite,slice,decisions,base_target_match,round11_teacher_gain,v2_best_teacher_gain,v2_best_teacher_target_match,positive_teacher_count_mean,safe_harmful_teacher_rate,committee_support_mean
315,a1_multiheavy_mixed_compute_round9_eval_seed315,overall,1581,0.9664769133459835,-0.0787987790478701,0.01134696058047715,0.001265022137887413,0.036685641998734975,0.010120177103099304,0.001265022137887413
315,a1_multiheavy_mixed_compute_round9_eval_seed315,hard_near_tie,355,0.8985915492957747,-0.09708476536710497,0.019944268884793132,0.0028169014084507044,0.10985915492957747,0.011267605633802818,0.0028169014084507044
315,a1_multiheavy_mixed_compute_round9_eval_seed315,stable_near_tie,342,0.9152046783625731,-0.10077512194538674,0.02070238436871802,0.0029239766081871343,0.0935672514619883,0.011695906432748537,0.0029239766081871343
315,a1_multiheavy_mixed_compute_round9_eval_seed315,high_headroom_near_tie,18,0.0,0.39334530300564235,0.39334530300564235,0.05555555555555555,1.1666666666666667,0.0,0.05555555555555555
315,a1_multiheavy_mixed_compute_round9_eval_seed315,baseline_error_near_tie,37,0.02702702702702703,0.19135717443517736,0.19135717443517736,0.02702702702702703,1.054054054054054,0.0,0.02702702702702703
315,a1_multiheavy_mixed_compute_round9_eval_seed315,round11_stable_positive,1,0.0,7.0802154541015625,7.0802154541015625,1.0,3.0,0.0,1.0
315,a1_multiheavy_mixed_compute_round9_eval_seed315,stable_positive_v2,1,0.0,7.0802154541015625,7.0802154541015625,1.0,3.0,0.0,1.0
315,a1_multiheavy_mixed_compute_round9_eval_seed315,stable_positive_v2_committee,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,a1_multiheavy_mixed_compute_round9_eval_seed315,stable_positive_v2_strict,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,a1_multiheavy_mixed_compute_round9_eval_seed315,large_gap_control,474,0.9957805907172996,-0.03392508864905764,0.0,0.0,0.004219409282700422,0.004219409282700422,0.0
315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,overall,1640,0.974390243902439,-0.24094115001399344,0.0,0.0,0.025609756097560974,0.03170731707317073,0.0
315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,hard_near_tie,395,0.9240506329113924,-0.35030900013597704,0.0,0.0,0.0759493670886076,0.04050632911392405,0.0
315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,stable_near_tie,387,0.9250645994832042,-0.3575505298545502,0.0,0.0,0.07493540051679587,0.041343669250646,0.0
315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,high_headroom_near_tie,14,0.0,0.0,0.0,0.0,1.0,0.0,0.0
315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,baseline_error_near_tie,30,0.0,0.0,0.0,0.0,1.0,0.0,0.0
315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,round11_stable_positive,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,stable_positive_v2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,stable_positive_v2_committee,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,stable_positive_v2_strict,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,large_gap_control,424,1.0,-0.037378135717140056,0.0,0.0,0.0,0.0047169811320754715,0.0
315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,overall,1123,0.9599287622439893,0.0,0.0,0.0,0.039180765805877114,0.0,0.0
315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,hard_near_tie,82,0.9512195121951219,0.0,0.0,0.0,0.04878048780487805,0.0,0.0
315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,stable_near_tie,81,0.9629629629629629,0.0,0.0,0.0,0.037037037037037035,0.0,0.0
315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,high_headroom_near_tie,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0
315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,baseline_error_near_tie,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0
315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,round11_stable_positive,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,stable_positive_v2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,stable_positive_v2_committee,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,stable_positive_v2_strict,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,large_gap_control,53,1.0,0.0,0.0,0.0,0.0,0.0,0.0
316,a1_multiheavy_mixed_compute_round9_eval_seed316,overall,1318,0.956752655538695,0.02455074255310892,0.04597099561792585,0.012139605462822459,0.10849772382397573,0.007587253414264037,0.04021244309559939
316,a1_multiheavy_mixed_compute_round9_eval_seed316,hard_near_tie,199,0.8844221105527639,0.030208942279144748,0.03893703671556023,0.01507537688442211,0.25125628140703515,0.010050251256281407,0.04522613065326633
316,a1_multiheavy_mixed_compute_round9_eval_seed316,stable_near_tie,190,0.8947368421052632,0.03163989217657792,0.04078142266524466,0.015789473684210527,0.23157894736842105,0.010526315789473684,0.04736842105263158
316,a1_multiheavy_mixed_compute_round9_eval_seed316,high_headroom_near_tie,15,0.0,0.516564687093099,0.5165646870930991,0.2,2.3333333333333335,0.0,0.6
316,a1_multiheavy_mixed_compute_round9_eval_seed316,baseline_error_near_tie,23,0.0,0.3368900133215863,0.33689001332158636,0.13043478260869565,2.1739130434782608,0.0,0.391304347826087
316,a1_multiheavy_mixed_compute_round9_eval_seed316,round11_stable_positive,3,0.0,2.5828234354654946,2.5828234354654955,1.0,4.333333333333333,0.0,3.0
316,a1_multiheavy_mixed_compute_round9_eval_seed316,stable_positive_v2,3,0.0,2.5828234354654946,2.5828234354654955,1.0,4.333333333333333,0.0,3.0
316,a1_multiheavy_mixed_compute_round9_eval_seed316,stable_positive_v2_committee,2,0.0,2.1348514556884766,2.1348514556884775,1.0,5.5,0.0,4.0
316,a1_multiheavy_mixed_compute_round9_eval_seed316,stable_positive_v2_strict,2,0.0,2.1348514556884766,2.1348514556884775,1.0,5.5,0.0,4.0
