seed,variant,config,best_epoch,best_selection_score,test_next_hop_accuracy,average_regret,p95_regret,deadline_miss_rate
311,E3,e3_memory_hubs_rsm_round4_seed311,3,0.8270316071667198,0.9564462602138519,1.2639447450637817,7.503976821899414,0.5
311,B1,b1_e3_hazard_memory_round4_seed311,2,0.8270205839745098,0.9564462602138519,1.2639447450637817,7.503976821899414,0.5
312,E3,e3_memory_hubs_rsm_round4_seed312,2,0.805675768649483,0.9487179563595698,3.215318202972412,13.310883522033691,0.5
312,B1,b1_e3_hazard_memory_round4_seed312,5,0.7840094836030056,0.9487179563595698,3.215318202972412,13.310883522033691,0.5
313,E3,e3_memory_hubs_rsm_round4_seed313,2,0.7173347564858639,0.9618055572112402,2.273812770843506,10.626986503601074,0.625
313,B1,b1_e3_hazard_memory_round4_seed313,2,0.7027085514574026,0.9618055572112402,2.273812770843506,10.626986503601074,0.625
