family,variant,budget_pct,slice,split_count,decisions,selected_count,stable_positive_total,stable_positive_selected,coverage,stable_positive_recall,defer_precision,false_positive_rate,harmful_selection_rate,false_positive_correction_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,p95_delta_regret,selected_mean_delta_regret,selected_p95_delta_regret,mean_delta_miss,selected_mean_delta_miss,selected_disagreement,score_mean,score_p95,label
round13_shortlist,prototype_memory_agree_blend_hybrid,0.1,baseline_error_near_tie,2,144,4,4,0,0.028169014084507043,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.020740883658113062,0.020740883658113062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.039813931946942,-0.5105985900000004,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.1,hard_near_tie,2,1489,4,4,0,0.002403846153846154,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.9038992067673575,0.9038992067673575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.587396020482524,-2.801126465000001,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.1,high_headroom_near_tie,2,70,4,4,0,0.05714285714285714,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8270300642000001,-0.23453186000000037,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.1,large_gap_control,2,1921,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9979175474541178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.269034338075564,-0.40310429500000033,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.1,overall,2,8683,10,4,0,0.0011516760700095966,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9651026897677792,0.9651026897677792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7861449068605495,-0.3704152450000009,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.1,stable_near_tie,2,1436,4,4,0,0.0024691358024691358,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.9160198004180965,0.9160198004180965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.588326227776934,-2.7406767175000004,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.1,stable_positive_v2,2,4,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8988988166666667,-1.42401113,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.1,stable_positive_v2_committee,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.851386925,-1.4998642275,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.25,baseline_error_near_tie,2,144,7,4,0,0.04929577464788732,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.020740883658113062,0.020740883658113062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.039813931946942,-0.5105985900000004,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.25,hard_near_tie,2,1489,7,4,0,0.004206730769230769,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.9038992067673575,0.9038992067673575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.587396020482524,-2.801126465000001,memory_agree_blend_hybrid
