seed,experiment,strategy,decision_next_hop_accuracy,solved_rate,next_hop_accuracy,average_regret,p95_regret,worst_regret,average_deadline_violations,deadline_miss_rate,p95_deadline_violations,priority_delivered_regret,average_oracle_cost,average_model_cost,gpu_hours
311,e3_memory_hubs_rsm_round4_multiheavy_seed311,earliest_final_agreement,0.9599483204134367,1.0,0.9285714285714286,0.6542284488677979,2.2243764400482178,2.6169137954711914,0.25,0.25,0.8499999046325684,0.75,23.176247488421392,23.830475933689716,0.0010244468483304242
312,e3_memory_hubs_rsm_round4_multiheavy_seed312,earliest_final_agreement,0.9521963824289406,1.0,0.9558823529411765,2.095038414001465,5.547922611236572,6.129857063293457,1.0,0.5,2.6999998092651367,1.25,53.382161625874915,55.47720014729752,0.0015351534733296526
313,e3_memory_hubs_rsm_round4_multiheavy_seed313,earliest_final_agreement,0.9733333333333334,1.0,0.9736842105263158,0.5030110478401184,1.7102373838424683,2.0120441913604736,0.75,0.5,1.8499999046325684,0.5,31.376225520724038,31.879236582034963,0.001106270635290356
311,e3_memory_hubs_rsm_round4_multiheavy_seed311,final,0.9599483204134367,1.0,0.9285714285714286,0.6542284488677979,2.2243764400482178,2.6169137954711914,0.25,0.25,0.8499999046325684,0.75,23.176247488421392,23.830475933689716,0.0010901197483407386
312,e3_memory_hubs_rsm_round4_multiheavy_seed312,final,0.9521963824289406,1.0,0.9558823529411765,2.095038414001465,5.547922611236572,6.129857063293457,1.0,0.5,2.6999998092651367,1.25,53.382161625874915,55.47720014729752,0.0015361065130693734
313,e3_memory_hubs_rsm_round4_multiheavy_seed313,final,0.9733333333333334,1.0,0.9736842105263158,0.5030110478401184,1.7102373838424683,2.0120441913604736,0.75,0.5,1.8499999046325684,0.5,31.376225520724038,31.879236582034963,0.0011046002369322298
311,e3_memory_hubs_rsm_round4_multiheavy_seed311,first,0.4354005167958656,0.0,0.5,3886.5029296875,6069.75390625,6500.24267578125,1.0,1.0,1.0,2.0,23.176247488421392,3909.679368677126,0.011065483955834579
312,e3_memory_hubs_rsm_round4_multiheavy_seed312,first,0.3850129198966408,0.0,0.5021367521367521,9300.533203125,18574.662109375,20383.896484375,2.5,1.0,4.0,4.5,53.382161625874915,9353.915628960396,0.024658526057222237
313,e3_memory_hubs_rsm_round4_multiheavy_seed313,first,0.5140740740740741,0.25,0.10862944162436548,10263.4482421875,23407.39453125,25741.04296875,1.25,1.0,1.8499999046325684,1.75,31.376225520724038,10294.824152963292,0.015311647501382848
311,e3_memory_hubs_rsm_round4_multiheavy_seed311,max_margin,0.8204134366925064,0.25,0.029498525073746312,3728.803955078125,6927.77880859375,7326.27880859375,1.0,1.0,1.0,2.0,23.176247488421392,3751.980411565594,0.010013219870840355
312,e3_memory_hubs_rsm_round4_multiheavy_seed312,max_margin,0.9341085271317829,1.0,0.9558823529411765,2.095038414001465,5.547922611236572,6.129857063293457,1.0,0.5,2.6999998092651367,1.25,53.382161625874915,55.47720014729752,0.0015357559150046048
313,e3_memory_hubs_rsm_round4_multiheavy_seed313,max_margin,0.8651851851851852,1.0,0.5708333333333333,1420.38916015625,4817.83349609375,5665.1435546875,0.75,0.5,1.8499999046325684,0.5,31.376225520724038,1451.7654800476714,0.004295011859713769
mean,earliest_final_agreement-mean,earliest_final_agreement,0.9618260120585701,1.0,0.9527126640129736,1.084092636903127,3.160845478375753,3.5862716833750405,0.6666666666666666,0.4166666666666667,1.7999998728434246,0.8333333333333334,35.97821154500678,37.0623042210074,0.0012219569856501444
mean,final-mean,final,0.9618260120585701,1.0,0.9527126640129736,1.084092636903127,3.160845478375753,3.5862716833750405,0.6666666666666666,0.4166666666666667,1.7999998728434246,0.8333333333333334,35.97821154500678,37.0623042210074,0.0012436088327807805
mean,first-mean,first,0.4448291702555269,0.08333333333333333,0.3702553979203725,7816.828125,16017.270182291666,17541.727376302082,1.5833333333333333,1.0,2.2833333015441895,2.75,35.97821154500678,7852.806383533604,0.017011885838146553
mean,max_margin-mean,max_margin,0.8732357163364916,0.75,0.5187380704494187,1717.0960512161255,3917.053409099579,4332.517406781514,0.9166666666666666,0.6666666666666666,1.8499999046325684,1.25,35.97821154500678,1753.0743639201876,0.0052813292151862425
