suite,episode_index,decision_index,packet_count,packet_priority,packet_deadline,candidate_degree,best_candidate_slack,best_candidate_slack_ratio,feasible_candidate_fraction,any_feasible_candidate,max_candidate_path_length,target_next_hop,predicted_next_hop,best_candidate_cost,second_best_candidate_cost,oracle_action_gap,oracle_action_gap_ratio,model_top1_score,model_top2_score,model_margin,predicted_score,target_score,predicted_cost_to_go,predicted_slack,predicted_on_time,predicted_continuation_gap,strictly_suboptimal,target_match,row_in_suite,perturb_flip_rate,max_tree_depth,hub_asymmetry,mean_queue,p90_queue,max_queue,deadline_miss,regret,solved,slack_band,packet_band,load_percentile,load_band,depth_band,hard_condition_count,hard_feasible_case,large_gap_hard_feasible_case,oracle_near_tie_case,model_near_tie_case,hard_near_tie_intersection_case,baseline_error_hard_near_tie_case,gap_bucket,baseline_error,depth_load_regime,critical_packet_proxy,effective_tie_under_perturbation,stable_near_tie_case,high_headroom_near_tie_case,decodable_near_tie_case,weakly_decodable_near_tie_case
a1_multiheavy_ood_branching3_round9_eval_seed314,12,240,4,2.0,26.258220687919927,1,0.6400227546691895,0.02437418598449176,1.0,True,9,96,96,25.61819839477539,25.61819839477539,0.0,0.0,-9.546248435974121,-9.546248435974121,0.0,-9.546248435974121,-9.546248435974121,25.61819839477539,0.6400227546691895,True,0.0,False,True,240,0.0,3,0.3709467947483063,3.6787047386169434,4.667964935302734,4.8709716796875,True,8.022401851293921,True,very_tight,4,0.6752270850536747,high_load,3,2,True,False,True,True,True,False,near_tie,False,d3_high_load,False,False,True,False,False,True
a1_multiheavy_ood_branching3_round9_eval_seed314,12,248,4,2.0,28.27942696077474,1,0.3112627863883972,0.011006686479897113,1.0,True,9,7,7,27.968164443969727,27.968164443969727,0.0,0.0,-3.508251428604126,-3.508251428604126,0.0,-3.508251428604126,-3.508251428604126,27.968164443969727,0.3112627863883972,True,0.0,False,True,248,0.0,3,0.3709467947483063,3.6787047386169434,4.667964935302734,4.8709716796875,True,8.022401851293921,True,critical,4,0.6752270850536747,high_load,3,2,True,False,True,True,True,False,near_tie,False,d3_high_load,True,False,True,False,False,True
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,0,6,3.0,34.564875848397655,1,6.939129829406738,0.20075668316709488,1.0,True,11,112,112,27.62574577331543,27.62574577331543,0.0,0.0,-10.593239784240723,-10.593239784240723,0.0,-10.593239784240723,-10.593239784240723,27.62574577331543,6.939129829406738,True,0.0,False,True,0,0.0,4,1.7334859371185303,2.108258008956909,3.572575330734253,4.033788204193115,True,1.504192350946596,True,loose,5+,0.19281585466556564,low_load,4,2,True,False,True,True,True,False,near_tie,False,d4_low_load,False,False,True,False,False,True
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,4,6,3.0,34.564875848397655,5,17.0361328125,0.49287412132538455,1.0,True,9,1,1,17.528743743896484,21.63703155517578,4.108287811279297,0.23437434372385096,2.1392982006073,1.703299880027771,0.4359983205795288,2.1392982006073,2.1392982006073,17.528743743896484,17.0361328125,True,0.0,False,True,4,0.0,4,1.7334859371185303,2.108258008956909,3.572575330734253,4.033788204193115,True,1.504192350946596,True,loose,5+,0.19281585466556564,low_load,4,2,True,False,True,True,True,False,medium_gap,False,d4_low_load,False,False,True,False,False,True
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,6,6,3.0,34.564875848397655,5,25.478788375854492,0.7371294630886293,1.0,True,7,68,68,9.086087226867676,12.840600967407227,3.754513740539551,0.4132156831421787,8.932689666748047,0.4079272150993347,8.524762451648712,8.932689666748047,8.932689666748047,9.086087226867676,25.478788375854492,True,0.0,False,True,6,0.0,4,1.7334859371185303,2.108258008956909,3.572575330734253,4.033788204193115,True,1.504192350946596,True,loose,5+,0.19281585466556564,low_load,4,2,True,False,True,False,False,False,near_tie,False,d4_low_load,False,False,False,False,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,10,6,3.0,37.29123799749512,1,7.666296482086182,0.20557902858041702,1.0,True,11,109,109,29.624940872192383,29.624940872192383,0.0,0.0,-10.32552719116211,-10.32552719116211,0.0,-10.32552719116211,-10.32552719116211,29.624940872192383,7.666296482086182,True,0.0,False,True,10,0.0,4,1.7334859371185303,2.108258008956909,3.572575330734253,4.033788204193115,True,1.504192350946596,True,loose,5+,0.19281585466556564,low_load,4,2,True,False,True,True,True,False,near_tie,False,d4_low_load,False,False,True,False,False,True
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,14,6,3.0,37.29123799749512,5,19.192350387573242,0.5146611219735426,1.0,True,9,1,1,18.098886489868164,21.93825912475586,3.8393726348876953,0.21213308548219212,2.6144063472747803,2.306201696395874,0.30820465087890625,2.6144063472747803,2.6144063472747803,18.098886489868164,19.192350387573242,True,0.0,False,True,14,0.0,4,1.7334859371185303,2.108258008956909,3.572575330734253,4.033788204193115,True,1.504192350946596,True,loose,5+,0.19281585466556564,low_load,4,2,True,False,True,True,True,False,near_tie,False,d4_low_load,False,False,True,False,False,True
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,16,6,3.0,37.29123799749512,5,29.410659790039062,0.7886748032343308,1.0,True,7,36,36,7.880578517913818,10.69921875,2.8186402320861816,0.3576692022900299,7.5076422691345215,1.256331205368042,6.2513110637664795,7.5076422691345215,7.5076422691345215,7.880578517913818,29.410659790039062,True,0.0,False,True,16,0.0,4,1.7334859371185303,2.108258008956909,3.572575330734253,4.033788204193115,True,1.504192350946596,True,loose,5+,0.19281585466556564,low_load,4,2,True,False,True,False,False,False,near_tie,False,d4_low_load,False,False,False,False,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,18,6,3.0,37.29123799749512,3,33.2352409362793,0.8912345827325908,1.0,True,5,45,45,4.055995941162109,8.18756103515625,4.131565093994141,1.018631466581394,9.15597152709961,5.1966118812561035,3.959359645843506,9.15597152709961,9.15597152709961,4.055995941162109,33.2352409362793,True,0.0,False,True,18,0.0,4,1.7334859371185303,2.108258008956909,3.572575330734253,4.033788204193115,True,1.504192350946596,True,loose,5+,0.19281585466556564,low_load,4,2,True,False,True,True,True,False,medium_gap,False,d4_low_load,False,False,True,False,False,True
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,20,6,3.0,41.33682651656091,1,4.192286014556885,0.10141770348232503,1.0,True,11,112,112,37.14453887939453,37.14453887939453,0.0,0.0,-11.353250503540039,-11.353250503540039,0.0,-11.353250503540039,-11.353250503540039,37.14453887939453,4.192286014556885,True,0.0,False,True,20,0.0,4,1.7334859371185303,2.108258008956909,3.572575330734253,4.033788204193115,True,1.504192350946596,True,moderate,5+,0.19281585466556564,low_load,4,2,True,False,True,True,True,False,near_tie,False,d4_low_load,False,False,True,False,False,True
