teacher_name,seed,slice,decisions,disagreement,helpful_rate,harmful_rate,recovery_rate,break_rate,mean_teacher_gain,mean_teacher_miss_gain
compute5,314,overall,4438,0.06421811626858945,0.023433979269941414,0.04078413699864804,0.010139702568724651,0.04078413699864804,-0.20825736831039285,-0.013068949977467327
compute5,314,hard_near_tie,684,0.13596491228070176,0.06578947368421052,0.07017543859649122,0.06578947368421052,0.07017543859649122,-0.3122467952862121,-0.04532163742690058
compute5,314,high_headroom_near_tie,53,0.5849056603773585,0.5849056603773585,0.0,0.5849056603773585,0.0,1.9263168550887197,0.018867924528301886
compute5,314,baseline_error_near_tie,100,0.45,0.45,0.0,0.45,0.0,1.116835470199585,0.01
compute5,314,large_gap_control,1015,0.026600985221674877,0.0019704433497536944,0.024630541871921183,0.0,0.024630541871921183,-0.1783745638842653,0.0
compute5,315,overall,4344,0.016114180478821363,0.00046040515653775324,0.01565377532228361,0.00023020257826887662,0.01565377532228361,-0.11964188667072556,-0.006675874769797422
compute5,315,hard_near_tie,832,0.025240384615384616,0.001201923076923077,0.02403846153846154,0.001201923076923077,0.02403846153846154,-0.2077369552392226,-0.02283653846153846
compute5,315,high_headroom_near_tie,35,0.02857142857142857,0.02857142857142857,0.0,0.02857142857142857,0.0,0.2022918701171875,0.02857142857142857
compute5,315,baseline_error_near_tie,71,0.014084507042253521,0.014084507042253521,0.0,0.014084507042253521,0.0,0.09972134442396567,0.014084507042253521
compute5,315,large_gap_control,951,0.004206098843322818,0.0,0.004206098843322818,0.0,0.004206098843322818,-0.03357394486195658,0.0
compute5,316,overall,4339,0.010601521087808251,0.0076054390412537455,0.0029960820465545056,0.0006914035492048859,0.0029960820465545056,0.017984098156192497,-0.0004609356994699239
compute5,316,hard_near_tie,657,0.0076103500761035,0.0045662100456621,0.0030441400304414,0.0045662100456621,0.0030441400304414,0.0091500449216892,0.0
compute5,316,high_headroom_near_tie,35,0.08571428571428572,0.08571428571428572,0.0,0.08571428571428572,0.0,0.2213848658970424,0.0
compute5,316,baseline_error_near_tie,73,0.0410958904109589,0.0410958904109589,0.0,0.0410958904109589,0.0,0.10614342885474636,0.0
compute5,316,large_gap_control,970,0.003092783505154639,0.002061855670103093,0.0010309278350515464,0.0,0.0010309278350515464,0.0040484556217783504,0.0
fixed_final,314,overall,1890,0.09735449735449736,0.025396825396825397,0.07195767195767196,0.015873015873015872,0.07195767195767196,-0.43522843910903525,-0.027513227513227514
fixed_final,314,hard_near_tie,365,0.18356164383561643,0.0821917808219178,0.10136986301369863,0.0821917808219178,0.10136986301369863,-0.5358424121386385,-0.07397260273972603
fixed_final,314,high_headroom_near_tie,27,0.7407407407407407,0.7407407407407407,0.0,0.7407407407407407,0.0,2.4094758563571506,0.0
fixed_final,314,baseline_error_near_tie,54,0.5555555555555556,0.5555555555555556,0.0,0.5555555555555556,0.0,1.3304576697172943,0.0
fixed_final,314,large_gap_control,562,0.026690391459074734,0.0,0.026690391459074734,0.0,0.026690391459074734,-0.2219917120882625,-0.0035587188612099642
fixed_middle,314,overall,1890,0.5121693121693122,0.02328042328042328,0.4888888888888889,0.014814814814814815,0.4888888888888889,-3.61845221311327,-0.04867724867724868
fixed_middle,314,hard_near_tie,365,0.3041095890410959,0.07671232876712329,0.2273972602739726,0.07671232876712329,0.2273972602739726,-1.0280988601789083,-0.09863013698630137
fixed_middle,314,high_headroom_near_tie,27,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,2.2249444678977683,0.0
fixed_middle,314,baseline_error_near_tie,54,0.5185185185185185,0.5185185185185185,0.0,0.5185185185185185,0.0,1.2381919754876032,0.0
