suite,episode_index,packet_count,community_count,max_tree_depth,hub_asymmetry,mean_queue,p90_queue,max_queue,mean_deadline,min_deadline,solved,total_steps,correct_steps,base_next_hop_accuracy,oracle_cost,model_cost,base_regret,deadline_violations,base_deadline_miss,oracle_priority_delivered,model_priority_delivered,priority_delivered_regret,compute_regret,compute_deadline_miss,compute_next_hop_accuracy,delta_regret,delta_deadline_miss
a1_multiheavy_mixed_compute_round9_eval_seed316,0,1,4,3,1.3623326420783997,4.511847972869873,6.313377380371094,6.446390151977539,19.633033637949193,19.633033637949193,True,6,5,0.8333333333333334,19.262992251317524,21.40266429864144,2.1396720473239164,1,True,1.0,0.0,1.0,2.1396720473239164,True,0.8333333333333334,0.0,0
a1_multiheavy_mixed_compute_round9_eval_seed316,1,5,4,4,0.7720269113779068,3.5345282554626465,6.113343238830566,6.386472702026367,33.67781537649711,25.486057096721353,True,46,42,0.9130434782608695,158.0539291518887,165.71184881430077,7.65791966241207,2,True,5.0,4.0,1.0,7.65791966241207,True,0.9130434782608695,0.0,0
a1_multiheavy_mixed_compute_round9_eval_seed316,2,1,4,4,3.06620854139328,2.900951385498047,5.450445175170898,6.153620719909668,22.656493603797408,22.656493603797408,True,8,7,0.875,21.68062397278055,31.241938044180344,9.561314071399796,1,True,1.0,0.0,1.0,0.0,False,1.0,-9.561314071399796,-1
a1_multiheavy_mixed_compute_round9_eval_seed316,3,1,4,4,3.458357095718384,3.40190052986145,5.783783912658691,6.340089321136475,30.09806343055958,30.09806343055958,True,9,9,1.0,28.12922091757573,28.12922091757573,0.0,0,False,1.0,1.0,0.0,0.0,False,1.0,0.0,0
a1_multiheavy_mixed_compute_round9_eval_seed316,4,5,4,4,0.4149940311908722,2.802665948867798,5.708965301513672,6.223812103271484,29.235673276196724,23.41734632750531,True,43,41,0.9534883720930233,140.8824925685777,156.58453857554812,15.70204600697042,3,True,7.0,5.0,2.0,15.70204600697042,True,0.9534883720930233,0.0,0
a1_multiheavy_mixed_compute_round9_eval_seed316,5,3,4,4,0.39726483821868896,3.1453824043273926,3.8667397499084473,3.9903621673583984,26.810905840328118,24.8951526335698,True,24,23,0.9583333333333334,78.83658184479113,83.49489344382559,4.658311599034462,2,True,3.0,1.0,2.0,57.86627043223511,True,0.8666666666666667,53.20795883320065,0
a1_multiheavy_mixed_compute_round9_eval_seed316,6,1,4,4,2.4303954243659973,4.904629230499268,5.763622283935547,6.074087619781494,31.26638385988695,31.26638385988695,True,8,8,1.0,31.01839392887993,31.01839392887993,0.0,0,False,3.0,3.0,0.0,0.0,False,1.0,0.0,0
a1_multiheavy_mixed_compute_round9_eval_seed316,7,3,4,4,1.9661040902137756,4.331249713897705,5.502592086791992,5.8118438720703125,31.0321082505041,29.656882401774002,True,22,21,0.9545454545454546,85.67411487295676,86.85825353247105,1.1841386595142893,1,True,3.0,3.0,0.0,1.1841386595142893,True,0.9545454545454546,0.0,0
a1_multiheavy_mixed_compute_round9_eval_seed316,8,2,4,4,1.460993230342865,2.021606922149658,2.7058348655700684,3.331758499145508,27.045192165749743,24.791032087518996,True,14,14,1.0,46.61233585450397,46.61233585450397,0.0,0,False,6.0,6.0,0.0,0.0,False,1.0,0.0,0
a1_multiheavy_mixed_compute_round9_eval_seed316,9,1,4,3,0.04553490877151489,3.974255323410034,5.683774471282959,5.806464195251465,24.65835199716654,24.65835199716654,True,7,6,0.8571428571428571,22.544891060487867,24.41827042445356,1.873379363965693,0,False,1.0,1.0,0.0,1.873379363965693,False,0.8571428571428571,0.0,0
