seed,suite,slice,decisions,teacher_disagreement,helpful_rate,harmful_rate,stable_positive_rate,unstable_positive_rate,base_target_match,teacher_target_match,recovery_rate,baseline_success_break,mean_delta_regret,p95_delta_regret,mean_delta_miss,mean_teacher_gain
314.0,a1_multiheavy_mixed_compute_round9_eval_seed314,overall,1359,0.047829286239882265,0.01839587932303164,0.029433406916850625,0.009565857247976454,0.0007358351729212656,0.9470198675496688,0.9352465047829286,0.010301692420897719,0.029433406916850625,0.15993029304599832,0.0,0.006622516556291391,-0.15993029304599832
314.0,a1_multiheavy_mixed_compute_round9_eval_seed314,hard_near_tie,226,0.10619469026548672,0.061946902654867256,0.04424778761061947,0.05752212389380531,0.004424778761061947,0.831858407079646,0.8495575221238938,0.061946902654867256,0.04424778761061947,0.08206944761023058,0.0,0.017699115044247787,-0.08206944761023058
314.0,a1_multiheavy_mixed_compute_round9_eval_seed314,stable_near_tie,216,0.10648148148148148,0.06018518518518518,0.046296296296296294,0.06018518518518518,0.0,0.8472222222222222,0.8611111111111112,0.06018518518518518,0.046296296296296294,0.08715565116317185,0.0,0.018518518518518517,-0.08715565116317185
314.0,a1_multiheavy_mixed_compute_round9_eval_seed314,high_headroom_near_tie,22,0.45454545454545453,0.45454545454545453,0.0,0.45454545454545453,0.0,0.0,0.45454545454545453,0.45454545454545453,0.0,-1.5893303697759456,0.0,-0.045454545454545456,1.5893303697759456
314.0,a1_multiheavy_mixed_compute_round9_eval_seed314,baseline_error_near_tie,37,0.3783783783783784,0.3783783783783784,0.0,0.35135135135135137,0.02702702702702703,0.0,0.3783783783783784,0.3783783783783784,0.0,-1.0206798862766575,0.0,-0.02702702702702703,1.0206798862766575
314.0,a1_multiheavy_mixed_compute_round9_eval_seed314,stable_positive_pack,13,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.883633100069486,-0.792344284057618,-0.07692307692307693,2.883633100069486
314.0,a1_multiheavy_mixed_compute_round9_eval_seed314,unstable_positive_pack,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-0.2779254913330078,-0.2779254913330078,0.0,0.2779254913330078
314.0,a1_multiheavy_mixed_compute_round9_eval_seed314,harmful_pack,10,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5.631285095214844,11.437091541290282,0.5,-5.631285095214844
314.0,a1_multiheavy_mixed_compute_round9_eval_seed314,large_gap_control,363,0.027548209366391185,0.0,0.027548209366391185,0.0,0.0,1.0,0.9724517906336089,0.0,0.027548209366391185,0.23038559905753647,0.0,0.0,-0.23038559905753647
314.0,a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,overall,1890,0.09735449735449736,0.025396825396825397,0.07195767195767196,0.014814814814814815,0.0010582010582010583,0.9571428571428572,0.9105820105820106,0.015873015873015872,0.07195767195767196,0.43522843910903525,6.003127193450927,0.027513227513227514,-0.43522843910903525
314.0,a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,hard_near_tie,365,0.18356164383561643,0.0821917808219178,0.10136986301369863,0.07671232876712329,0.005479452054794521,0.852054794520548,0.8328767123287671,0.0821917808219178,0.10136986301369863,0.5358424121386385,7.6097236633300795,0.07397260273972603,-0.5358424121386385
314.0,a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,stable_near_tie,345,0.1826086956521739,0.08115942028985507,0.10144927536231885,0.08115942028985507,0.0,0.8753623188405797,0.855072463768116,0.08115942028985507,0.10144927536231885,0.5673442260078762,7.739347076416017,0.0782608695652174,-0.5673442260078762
314.0,a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,high_headroom_near_tie,27,0.7407407407407407,0.7407407407407407,0.0,0.7407407407407407,0.0,0.0,0.7407407407407407,0.7407407407407407,0.0,-2.4094758563571506,0.0,0.0,2.4094758563571506
314.0,a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,baseline_error_near_tie,54,0.5555555555555556,0.5555555555555556,0.0,0.5185185185185185,0.037037037037037035,0.0,0.5555555555555556,0.5555555555555556,0.0,-1.3304576697172943,0.0,0.0,1.3304576697172943
