task,suite,split,accuracy,num_classes,binary
slack_bucket,e3_memory_hubs_rsm_round7_multiheavy_seed312_train,train,0.9189833402633667,5,False
slack_bucket,e3_memory_hubs_rsm_round7_multiheavy_seed312,eval,0.8966408371925354,5,False
slack_bucket,a1_multiheavy_ood_branching3_round7_eval,eval,0.8871681690216064,5,False
slack_bucket,a1_multiheavy_ood_deeper_packets6_round7_eval,eval,0.8854304552078247,5,False
slack_bucket,a1_multiheavy_ood_heavy_dynamic_round7_eval,eval,0.8686192631721497,5,False
critical_packet_proxy,e3_memory_hubs_rsm_round7_multiheavy_seed312_train,train,0.9718030095100403,2,True
critical_packet_proxy,e3_memory_hubs_rsm_round7_multiheavy_seed312,eval,0.9664082527160645,2,True
critical_packet_proxy,a1_multiheavy_ood_branching3_round7_eval,eval,0.9679203629493713,2,True
critical_packet_proxy,a1_multiheavy_ood_deeper_packets6_round7_eval,eval,0.9781457185745239,2,True
critical_packet_proxy,a1_multiheavy_ood_heavy_dynamic_round7_eval,eval,0.9715481400489807,2,True
feasible_continuation,e3_memory_hubs_rsm_round7_multiheavy_seed312_train,train,1.0,2,True
feasible_continuation,e3_memory_hubs_rsm_round7_multiheavy_seed312,eval,1.0,2,True
feasible_continuation,a1_multiheavy_ood_branching3_round7_eval,eval,1.0,2,True
feasible_continuation,a1_multiheavy_ood_deeper_packets6_round7_eval,eval,0.9993377327919006,2,True
feasible_continuation,a1_multiheavy_ood_heavy_dynamic_round7_eval,eval,1.0,2,True
oracle_gap_bucket,e3_memory_hubs_rsm_round7_multiheavy_seed312_train,train,0.7847498059272766,3,False
oracle_gap_bucket,e3_memory_hubs_rsm_round7_multiheavy_seed312,eval,0.7713178396224976,3,False
oracle_gap_bucket,a1_multiheavy_ood_branching3_round7_eval,eval,0.7267699241638184,3,False
oracle_gap_bucket,a1_multiheavy_ood_deeper_packets6_round7_eval,eval,0.6490066051483154,3,False
oracle_gap_bucket,a1_multiheavy_ood_heavy_dynamic_round7_eval,eval,0.6953974962234497,3,False
depth_load_regime,e3_memory_hubs_rsm_round7_multiheavy_seed312_train,train,0.9408260583877563,6,False
depth_load_regime,e3_memory_hubs_rsm_round7_multiheavy_seed312,eval,0.6808785796165466,6,False
depth_load_regime,a1_multiheavy_ood_branching3_round7_eval,eval,0.0,6,False
depth_load_regime,a1_multiheavy_ood_deeper_packets6_round7_eval,eval,0.0,6,False
depth_load_regime,a1_multiheavy_ood_heavy_dynamic_round7_eval,eval,0.3096234202384949,6,False
baseline_strictly_suboptimal,e3_memory_hubs_rsm_round7_multiheavy_seed312_train,train,0.9638602137565613,2,True
baseline_strictly_suboptimal,e3_memory_hubs_rsm_round7_multiheavy_seed312,eval,0.9483203887939453,2,True
baseline_strictly_suboptimal,a1_multiheavy_ood_branching3_round7_eval,eval,0.9579645991325378,2,True
baseline_strictly_suboptimal,a1_multiheavy_ood_deeper_packets6_round7_eval,eval,0.9728477001190186,2,True
baseline_strictly_suboptimal,a1_multiheavy_ood_heavy_dynamic_round7_eval,eval,0.9665272235870361,2,True
