suite,episode_index,decision_index,predicted_next_hop,target_match,predicted_continuation_gap,predicted_on_time,selected_steps,base_predicted_next_hop,base_target_match,hard_near_tie_intersection_case,baseline_error_hard_near_tie_case,large_gap_hard_feasible_case,disagreement,correction,new_error,policy
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,0,112,True,0.0,True,5,112,True,True,False,False,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,1,105,True,0.0,True,5,105,True,False,False,True,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,2,113,False,7.918981552124023,True,5,101,True,False,False,True,True,False,True,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,3,98,True,0.0,True,5,98,True,False,False,False,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,4,1,True,0.0,True,5,1,True,True,False,False,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,5,66,True,0.0,True,5,66,True,False,False,True,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,6,68,True,0.0,True,5,68,True,False,False,False,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,7,70,True,0.0,True,5,70,True,False,False,True,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,8,75,True,0.0,True,5,75,True,False,False,True,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,9,85,True,0.0,True,5,85,True,False,False,True,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,10,109,True,0.0,True,5,109,True,True,False,False,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,11,103,True,0.0,True,5,103,True,False,False,False,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,12,108,False,6.2664031982421875,True,5,100,True,False,False,False,True,False,True,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,13,98,True,0.0,True,5,98,True,False,False,True,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,14,1,True,0.0,True,5,1,True,True,False,False,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,15,34,True,0.0,True,5,34,True,False,False,True,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,16,36,True,0.0,True,5,36,True,False,False,False,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,17,39,True,0.0,True,5,39,True,False,False,True,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,18,45,True,0.0,True,5,45,True,True,False,False,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,19,57,True,0.0,True,5,57,True,False,False,True,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,20,112,True,0.0,True,5,112,True,True,False,False,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,21,105,True,0.0,True,5,105,True,False,False,False,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,22,113,False,8.351350784301758,True,5,101,True,False,False,False,True,False,True,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,23,98,True,0.0,True,5,98,True,False,False,False,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,24,1,False,0.29480934143066406,True,5,0,True,True,False,False,True,False,True,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,25,2,True,0.0,True,5,2,True,True,False,False,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,26,4,True,0.0,True,5,4,True,False,False,True,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,27,7,True,0.0,True,5,7,True,False,False,True,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,28,12,True,0.0,True,5,12,True,False,False,True,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,29,22,True,0.0,True,5,22,True,False,False,True,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,30,44,True,0.0,True,5,44,True,True,False,False,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,31,39,True,0.0,True,5,39,True,False,False,False,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,32,44,False,6.9601287841796875,False,5,36,True,True,False,False,True,False,True,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,33,34,True,0.0,True,5,34,True,False,False,True,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,34,1,True,0.0,True,5,1,True,True,False,False,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,35,66,True,0.0,True,5,66,True,False,False,False,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,36,68,True,0.0,True,5,68,True,False,False,False,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,37,71,True,0.0,True,5,71,True,False,False,True,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,38,76,True,0.0,True,5,76,True,False,False,True,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,39,86,True,0.0,True,5,86,True,False,False,True,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,40,46,True,0.0,False,5,46,True,False,False,False,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,41,40,True,0.0,True,5,40,True,False,False,False,False,False,False,fixed_final
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,42,47,False,4.611839294433594,False,5,37,True,True,False,False,True,False,True,fixed_final
