variant,experiment,gpu_hours,test_next_hop_accuracy,rollout_next_hop_accuracy,average_regret,p95_regret,deadline_miss_rate
Multiheavy,e3_memory_hubs_rsm_round6_multiheavy_seed312,0.059672549565633136,0.9546568779384389,0.9453125,1.9167025089263916,5.445607662200928,0.4375
RegimeExperts,b1_multiheavy_regime_experts_round6_seed312,0.060636690391434565,0.9546568779384389,0.9453125,1.9167025089263916,5.445607662200928,0.4375
Planner,c1_multiheavy_planner_round6_seed312,0.10101607700188954,0.9558823669657988,0.953125,1.7760591506958008,5.445607662200928,0.4375
HazardMemory,e1_multiheavy_hazard_memory_round6_seed312,0.10703421148988936,0.9546568779384389,0.9453125,1.9167025089263916,5.445607662200928,0.4375
