family,variant,split,budget_pct,slice,decisions,selected_count,coverage,stable_positive_total,stable_positive_selected,stable_positive_recall,defer_precision,false_positive_rate,harmful_selection_rate,false_positive_correction_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,p95_delta_regret,mean_delta_miss,selected_disagreement,score_mean,score_p95,label
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.25,stable_positive_v2_committee,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.25,hard_near_tie,832,4,0.004807692307692308,1,1,1.0,0.25,0.75,0.0,0.0,0.001201923076923077,0.0,0.9158653846153846,0.9170673076923077,-0.00850987434387207,0.0,-0.001201923076923077,0.001201923076923077,-4.391269566418269,-1.6730403400000002,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.25,stable_near_tie,810,4,0.0049382716049382715,1,1,1.0,0.25,0.75,0.0,0.0,0.0012345679012345679,0.0,0.9246913580246914,0.9259259259259259,-0.00874100673345872,0.0,-0.0012345679012345679,0.0012345679012345679,-4.402271628592592,-1.6837187500000008,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.25,high_headroom_near_tie,35,4,0.11428571428571428,1,1,1.0,0.25,0.75,0.0,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,-0.2022918701171875,0.0,-0.02857142857142857,0.02857142857142857,-0.27597736742857143,1.0943214699999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.25,baseline_error_near_tie,71,4,0.056338028169014086,1,1,1.0,0.25,0.75,0.0,0.0,0.014084507042253521,0.0,0.014084507042253521,0.028169014084507043,-0.09972134442396567,0.0,-0.014084507042253521,0.014084507042253521,-1.5830706614084507,0.6492407,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.25,large_gap_control,951,2,0.002103049421661409,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9978969505783386,0.9978969505783386,0.0,0.0,0.0,0.0,-3.201880833522608,-1.3497879,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.5,overall,4344,22,0.0050644567219152855,1,1,1.0,0.045454545454545456,0.9545454545454546,0.0,0.0,0.00023020257826887662,0.0,0.9677716390423573,0.9682320441988951,-0.0041297294377841565,0.0,-0.00046040515653775324,0.00046040515653775324,-3.4421964219360035,-1.293637705000001,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.5,stable_positive_v2,1,1,1.0,1,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-7.0802154541015625,-7.0802154541015625,-1.0,1.0,0.8331455,0.8331455,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.5,stable_positive_v2_committee,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.5,hard_near_tie,832,11,0.013221153846153846,1,1,1.0,0.09090909090909091,0.9090909090909091,0.0,0.0,0.001201923076923077,0.0,0.9158653846153846,0.9170673076923077,-0.00850987434387207,0.0,-0.001201923076923077,0.001201923076923077,-4.391269566418269,-1.6730403400000002,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.5,stable_near_tie,810,11,0.013580246913580247,1,1,1.0,0.09090909090909091,0.9090909090909091,0.0,0.0,0.0012345679012345679,0.0,0.9246913580246914,0.9259259259259259,-0.00874100673345872,0.0,-0.0012345679012345679,0.0012345679012345679,-4.402271628592592,-1.6837187500000008,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.5,high_headroom_near_tie,35,11,0.3142857142857143,1,1,1.0,0.09090909090909091,0.9090909090909091,0.0,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,-0.2022918701171875,0.0,-0.02857142857142857,0.02857142857142857,-0.27597736742857143,1.0943214699999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.5,baseline_error_near_tie,71,11,0.15492957746478872,1,1,1.0,0.09090909090909091,0.9090909090909091,0.0,0.0,0.014084507042253521,0.0,0.014084507042253521,0.028169014084507043,-0.09972134442396567,0.0,-0.014084507042253521,0.014084507042253521,-1.5830706614084507,0.6492407,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.5,large_gap_control,951,2,0.002103049421661409,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9978969505783386,0.9978969505783386,0.0,0.0,0.0,0.0,-3.201880833522608,-1.3497879,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.75,overall,4344,29,0.006675874769797422,1,1,1.0,0.034482758620689655,0.9655172413793104,0.0,0.0,0.00023020257826887662,0.0,0.9677716390423573,0.9682320441988951,-0.0041297294377841565,0.0,-0.00046040515653775324,0.00046040515653775324,-3.4421964219360035,-1.293637705000001,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.75,stable_positive_v2,1,1,1.0,1,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-7.0802154541015625,-7.0802154541015625,-1.0,1.0,0.8331455,0.8331455,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.75,stable_positive_v2_committee,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.75,hard_near_tie,832,16,0.019230769230769232,1,1,1.0,0.0625,0.9375,0.0,0.0,0.001201923076923077,0.0,0.9158653846153846,0.9170673076923077,-0.00850987434387207,0.0,-0.001201923076923077,0.001201923076923077,-4.391269566418269,-1.6730403400000002,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.75,stable_near_tie,810,16,0.019753086419753086,1,1,1.0,0.0625,0.9375,0.0,0.0,0.0012345679012345679,0.0,0.9246913580246914,0.9259259259259259,-0.00874100673345872,0.0,-0.0012345679012345679,0.0012345679012345679,-4.402271628592592,-1.6837187500000008,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.75,high_headroom_near_tie,35,16,0.45714285714285713,1,1,1.0,0.0625,0.9375,0.0,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,-0.2022918701171875,0.0,-0.02857142857142857,0.02857142857142857,-0.27597736742857143,1.0943214699999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.75,baseline_error_near_tie,71,16,0.22535211267605634,1,1,1.0,0.0625,0.9375,0.0,0.0,0.014084507042253521,0.0,0.014084507042253521,0.028169014084507043,-0.09972134442396567,0.0,-0.014084507042253521,0.014084507042253521,-1.5830706614084507,0.6492407,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,round11_feature_cache_seed315,0.75,large_gap_control,951,2,0.002103049421661409,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9978969505783386,0.9978969505783386,0.0,0.0,0.0,0.0,-3.201880833522608,-1.3497879,memory_agree_blend_hybrid
