experiment,stage,bucket,notes,device,num_communities,tree_depth_min,tree_depth_max,branching_factor,packets_max,queue_low,queue_high,queue_penalty,capacity_penalty,urgency_penalty,decision_loss,test_next_hop_accuracy,value_mae,value_rmse,rollout_solved_rate,rollout_next_hop_accuracy,average_regret,p95_regret,worst_regret,deadline_violations,deadline_miss_rate,p95_deadline_violations,priority_delivered_regret
a3_e3_multiheavy_path_reranker_gated_ood_branching3_round4_eval,scout,explore,round4 OOD branching evaluation for the bounded and traffic-gated multiheavy plus path-reranker scout,cuda:1,4,3,3,3,4,0.0,4.0,0.35,2.5,1.2,1.7964603934023116,0.9583333532015482,2.189222574234009,2.8576330873701306,1.0,0.9201388888888888,3.3645925521850586,8.03805160522461,8.816288948059082,1.0625,0.6875,2.25,0.75
a3_e3_multiheavy_path_reranker_gated_ood_deeper_packets6_round4_eval,scout,explore,round4 OOD deeper-tree and packets6 evaluation for the bounded and traffic-gated multiheavy plus path-reranker scout,cuda:1,4,3,4,2,6,0.0,4.0,0.35,2.5,1.2,1.7655265698066125,0.9651231674047617,2.1347531997240505,2.8063232623613796,1.0,0.9575070821529745,2.767604351043701,10.681928634643555,17.681371688842773,0.9375,0.5625,3.25,0.6875
a3_e3_multiheavy_path_reranker_gated_ood_heavy_dynamic_round4_eval,scout,explore,round4 OOD heavy dynamic evaluation for the bounded and traffic-gated multiheavy plus path-reranker scout,cuda:1,4,3,3,2,4,2.5,5.5,2.5,3.0,1.5,442.52429580688477,0.9531250186264515,41.40040111541748,46.89050030708313,1.0,0.9153225806451613,3.816530466079712,10.711524963378906,13.101051330566406,0.1875,0.1875,1.0,0.1875
