budget_pct,leader_variant,stable_positive_recall,hard_target_match,overall_mean_delta_regret,source_name,dispatcher_stable_positive_recall,dispatcher_hard_target_match,dispatcher_hard_mean_delta_regret,dispatcher_overall_mean_delta_regret,dispatcher_overall_p95_delta_regret,dispatcher_overall_mean_delta_miss,stable_positive_recall_gain,hard_target_match_gain,overall_mean_delta_regret_gain
0.1,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,0.5,0.9045001683058188,-0.0049781302944337,archived,0.5,0.9045001683058189,-0.004254937171936035,-0.004778060456373443,0.0,-0.00023020257826887662,0.0,1.1102230246251565e-16,0.00020006983806025724
0.25,prototype_memory_agree_blend_hybrid,0.6666666666666666,0.9052612033134292,-0.0048547128812457,archived,0.6666666666666666,0.9052612033134293,-0.006902400942879362,-0.005178932477002567,0.0,-0.00023020257826887662,0.0,1.1102230246251565e-16,-0.0003242195957568663
0.5,prototype_memory_agree_blend_hybrid,0.6666666666666666,0.9052612033134292,-0.0093434574389326,archived,0.6666666666666666,0.9052612033134293,-0.006902400942879362,-0.009881317884657206,0.0,-0.00023020257826887662,0.0,1.1102230246251565e-16,-0.0005378604457246059
0.75,prototype_sharp_negative_tail_support_agree_mix_hybrid,0.75,0.9073203492276696,-0.014446054805908,archived,0.8333333333333333,0.9060222383210397,-0.009001362632217291,-0.01169152932653069,0.0,-0.00023020257826887662,0.08333333333333326,-0.0012981109066299013,0.0027545254793773094
1.0,prototype_negative_tail_support_agree_mix_hybrid,1.0,0.9079919408999328,-0.0130832412475459,archived,0.8333333333333333,0.9060222383210397,-0.009001362632217291,-0.013551494038813863,0.0,-0.00023020257826887662,-0.16666666666666674,-0.0019697025788931732,-0.0004682527912679632
1.25,prototype_negative_tail_support_agree_mix_hybrid,1.0,0.9079919408999328,-0.0134725953993621,archived,1.0,0.90678327332865,-0.010151794330533054,-0.01490721911642515,0.0,-0.00023020257826887662,0.0,-0.0012086675712827954,-0.0014346237170630508
1.5,prototype_negative_tail_support_agree_mix_hybrid,1.0,0.9079919408999328,-0.0138029807808074,archived,1.0,0.90678327332865,-0.010151794330533054,-0.015296797602276698,0.0,-0.00023020257826887662,0.0,-0.0012086675712827954,-0.0014938168214692973
2.0,prototype_negative_tail_support_agree_mix_hybrid,1.0,0.9079919408999328,-0.0138029807808074,archived,1.0,0.90678327332865,-0.010151794330533054,-0.01603551385963974,0.0,-0.00023020257826887662,0.0,-0.0012086675712827954,-0.0022325330788323383
2.5,prototype_negative_tail_support_agree_mix_hybrid,1.0,0.9079919408999328,-0.014062981636832,archived,1.0,0.90678327332865,-0.010151794330533054,-0.01603551385963974,0.0,-0.00023020257826887662,0.0,-0.0012086675712827954,-0.0019725322228077383
0.1,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,0.5,0.9045001683058188,-0.0061242399991699,rerun1,0.5,0.9045001683058189,-0.004254937171936035,-0.00568694658713784,0.0,-0.00023020257826887662,0.0,1.1102230246251565e-16,0.00043729341203205957
0.25,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,0.5,0.9045001683058188,-0.008133558373554,rerun1,0.6666666666666666,0.9052612033134293,-0.006902400942879362,-0.006808460989493518,0.0,-0.00023020257826887662,0.16666666666666663,0.0007610350076104888,0.0013250973840604812
0.5,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,0.5,0.9045001683058188,-0.0096773175193324,rerun1,0.6666666666666666,0.9052612033134293,-0.006902400942879362,-0.008088808431592973,0.0,-0.00023020257826887662,0.16666666666666663,0.0007610350076104888,0.001588509087739427
0.75,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,0.5,0.9045001683058188,-0.011692202766979,rerun1,0.6666666666666666,0.9052612033134293,-0.006902400942879362,-0.008675213075956211,0.0,-0.00023020257826887662,0.16666666666666663,0.0007610350076104888,0.0030169896910227888
1.0,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,0.6666666666666666,0.9052612033134292,-0.0133922625174993,rerun1,0.6666666666666666,0.9052612033134293,-0.006902400942879362,-0.009195785619622442,0.0,-0.00023020257826887662,0.0,1.1102230246251565e-16,0.004196476897876859
