family,variant,budget_pct,slice,split_count,decisions,selected_count,stable_positive_total,stable_positive_selected,coverage,stable_positive_recall,defer_precision,false_positive_rate,harmful_selection_rate,false_positive_correction_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,p95_delta_regret,mean_delta_miss,selected_disagreement,score_mean,score_p95,label
round13_shortlist,prototype_memory_agree_blend_hybrid,0.1,baseline_error_near_tie,2,144,5,4,1,0.03482539070036658,0.16666666666666666,0.25,0.75,0.0,0.0,0.00684931506849315,0.0,0.020740883658113062,0.027590198726606213,-0.02382717393848994,0.0,0.0,0.00684931506849315,-1.1768777326446362,0.7831935879999998,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.1,hard_near_tie,2,1489,5,4,1,0.0033249546306053156,0.16666666666666666,0.25,0.75,0.0,0.0,0.00076103500761035,0.0,0.9038992067673575,0.9046602417749678,-0.0026474637709433266,0.0,0.0,0.00076103500761035,-3.9043151719863793,-0.9682121190000003,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.1,high_headroom_near_tie,2,70,5,4,1,0.07142857142857142,0.16666666666666666,0.25,0.75,0.0,0.0,0.014285714285714285,0.0,0.0,0.014285714285714285,-0.049696677071707586,0.0,0.0,0.014285714285714285,-0.03917806284714284,1.084381675,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.1,large_gap_control,2,1921,2,0,0,0.0010412262729411256,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9984330113716435,-0.003551458575061916,0.0,0.0,0.0005154639175257732,-2.4621050792505823,-0.7198218846500002,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.1,overall,2,8683,10,4,1,0.0011516760700095966,0.16666666666666666,0.1,0.9,0.0,0.0,0.00011523392486748098,0.0,0.9651026897677792,0.9654482589066486,-0.0024447369239853313,0.0,-0.00011510128913443831,0.00034556913886940024,-2.7203271217949894,-0.5739380400000007,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.1,stable_near_tie,2,1436,5,4,1,0.003449295941308721,0.16666666666666666,0.25,0.75,0.0,0.0,0.0007987220447284345,0.0,0.9160198004180965,0.9168185224628249,-0.0027785682068846096,0.0,0.0,0.0007987220447284345,-3.927921635485833,-0.9723196512500004,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.1,stable_positive_v2,2,4,1,4,1,0.16666666666666666,0.16666666666666666,0.5,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,-0.5797945658365885,0.0,0.0,0.16666666666666666,0.3685899283333333,0.9058500485,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.1,stable_positive_v2_committee,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3412142825,0.007685448249999963,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.25,baseline_error_near_tie,2,144,7,4,2,0.0487169592899865,0.6666666666666666,0.29166666666666663,0.7083333333333333,0.0,0.0,0.013891568589619912,0.0,0.020740883658113062,0.034632452247732974,-0.07368784615047277,0.0,-0.007042253521126761,0.013891568589619912,-1.1768777326446362,0.7831935879999998,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.25,hard_near_tie,2,1489,7,4,2,0.004686951176677204,0.6666666666666666,0.29166666666666663,0.7083333333333333,0.0,0.0,0.0013619965460718885,0.0,0.9038992067673575,0.9052612033134293,-0.006902400942879362,0.0,-0.0006009615384615385,0.0013619965460718885,-3.9043151719863793,-0.9682121190000003,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.25,high_headroom_near_tie,2,70,7,4,2,0.1,0.6666666666666666,0.29166666666666663,0.7083333333333333,0.0,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,-0.15084261213030134,0.0,-0.014285714285714285,0.02857142857142857,-0.03917806284714284,1.084381675,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.25,large_gap_control,2,1921,3,0,0,0.0015669886283564776,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9984330113716435,-0.003551458575061916,0.0,0.0,0.0005154639175257732,-2.4621050792505823,-0.7198218846500002,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.25,overall,2,8683,22,4,2,0.0025336873540211125,0.6666666666666666,0.09090909090909091,0.9090909090909091,0.0,0.0,0.0002303352140019193,0.0,0.9651026897677792,0.9659090619703856,-0.004854712881245763,0.0,-0.00023020257826887662,0.0008063722026062817,-2.7203271217949894,-0.5739380400000007,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.25,stable_near_tie,2,1436,7,4,2,0.004865301936654439,0.6666666666666666,0.29166666666666663,0.7083333333333333,0.0,0.0,0.0014160059953457183,0.0,0.9160198004180965,0.9174358064134422,-0.00714907157361397,0.0,-0.0006172839506172839,0.0014160059953457183,-3.927921635485833,-0.9723196512500004,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.25,stable_positive_v2,2,4,2,4,2,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,-4.11990229288737,-3.5401077270507812,-0.5,0.6666666666666666,0.3685899283333333,0.9058500485,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.25,stable_positive_v2_committee,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3412142825,0.007685448249999963,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.5,baseline_error_near_tie,2,144,16,4,2,0.11171136407486011,0.6666666666666666,0.14545454545454545,0.8545454545454545,0.0,0.0,0.013891568589619912,0.0,0.020740883658113062,0.034632452247732974,-0.07368784615047277,0.0,-0.007042253521126761,0.013891568589619912,-1.1768777326446362,0.7831935879999998,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.5,hard_near_tie,2,1489,16,4,2,0.010415751961128674,0.6666666666666666,0.14545454545454545,0.8545454545454545,0.0,0.0,0.0013619965460718885,0.0,0.9038992067673575,0.9052612033134293,-0.006902400942879362,0.0,-0.0006009615384615385,0.0013619965460718885,-3.9043151719863793,-0.9682121190000003,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.5,high_headroom_near_tie,2,70,16,4,2,0.22857142857142856,0.6666666666666666,0.14545454545454545,0.8545454545454545,0.0,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,-0.15084261213030134,0.0,-0.014285714285714285,0.02857142857142857,-0.03917806284714284,1.084381675,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.5,large_gap_control,2,1921,4,0,0,0.002082452545882251,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9989484752891693,-0.006480416563368336,0.0,0.0,0.0010309278350515464,-2.4621050792505823,-0.7198218846500002,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.5,overall,2,8683,44,4,2,0.005067374708042225,0.6666666666666666,0.045454545454545456,0.9545454545454546,0.0,0.0,0.0002303352140019193,0.0,0.9651026897677792,0.9667156994444579,-0.009343457438932608,0.0,-0.00023020257826887662,0.0016130096766786485,-2.7203271217949894,-0.5739380400000007,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.5,stable_near_tie,2,1436,16,4,2,0.010783733680432296,0.6666666666666666,0.14545454545454545,0.8545454545454545,0.0,0.0,0.0014160059953457183,0.0,0.9160198004180965,0.9174358064134422,-0.00714907157361397,0.0,-0.0006172839506172839,0.0014160059953457183,-3.927921635485833,-0.9723196512500004,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.5,stable_positive_v2,2,4,2,4,2,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,-4.11990229288737,-3.5401077270507812,-0.5,0.6666666666666666,0.3685899283333333,0.9058500485,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.5,stable_positive_v2_committee,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3412142825,0.007685448249999963,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.75,baseline_error_near_tie,2,144,23,4,2,0.1606212618174802,0.6666666666666666,0.10267857142857142,0.8973214285714286,0.0,0.0,0.013891568589619912,0.0,0.020740883658113062,0.034632452247732974,-0.07368784615047277,0.0,-0.007042253521126761,0.013891568589619912,-1.1768777326446362,0.7831935879999998,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.75,hard_near_tie,2,1489,23,4,2,0.014942629668657066,0.6666666666666666,0.10267857142857142,0.8973214285714286,0.0,0.0,0.0013619965460718885,0.0,0.9038992067673575,0.9052612033134293,-0.006902400942879362,0.0,-0.0006009615384615385,0.0013619965460718885,-3.9043151719863793,-0.9682121190000003,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.75,high_headroom_near_tie,2,70,23,4,2,0.32857142857142857,0.6666666666666666,0.10267857142857142,0.8973214285714286,0.0,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,-0.15084261213030134,0.0,-0.014285714285714285,0.02857142857142857,-0.03917806284714284,1.084381675,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.75,large_gap_control,2,1921,4,0,0,0.002082452545882251,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9989484752891693,-0.006480416563368336,0.0,0.0,0.0010309278350515464,-2.4621050792505823,-0.7198218846500002,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.75,overall,2,8683,62,4,2,0.007140656905525584,0.6666666666666666,0.03239289446185998,0.9676071055381401,0.0,0.0,0.0002303352140019193,0.0,0.9651026897677792,0.9671766351439278,-0.010928788784504182,0.0,-0.00023020257826887662,0.002073945376148572,-2.7203271217949894,-0.5739380400000007,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.75,stable_near_tie,2,1436,23,4,2,0.015467597522975584,0.6666666666666666,0.10267857142857142,0.8973214285714286,0.0,0.0,0.0014160059953457183,0.0,0.9160198004180965,0.9174358064134422,-0.00714907157361397,0.0,-0.0006172839506172839,0.0014160059953457183,-3.927921635485833,-0.9723196512500004,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.75,stable_positive_v2,2,4,2,4,2,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,-4.11990229288737,-3.5401077270507812,-0.5,0.6666666666666666,0.3685899283333333,0.9058500485,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.75,stable_positive_v2_committee,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3412142825,0.007685448249999963,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.0,baseline_error_near_tie,2,144,25,4,2,0.1743198919544665,0.6666666666666666,0.08680555555555555,0.9131944444444444,0.0,0.0,0.013891568589619912,0.0,0.020740883658113062,0.034632452247732974,-0.07368784615047277,0.0,-0.007042253521126761,0.013891568589619912,-1.1768777326446362,0.7831935879999998,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.0,hard_near_tie,2,1489,25,4,2,0.016464699683877766,0.6666666666666666,0.08680555555555555,0.9131944444444444,0.0,0.0,0.0013619965460718885,0.0,0.9038992067673575,0.9052612033134293,-0.006902400942879362,0.0,-0.0006009615384615385,0.0013619965460718885,-3.9043151719863793,-0.9682121190000003,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.0,high_headroom_near_tie,2,70,25,4,2,0.3571428571428571,0.6666666666666666,0.08680555555555555,0.9131944444444444,0.0,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,-0.15084261213030134,0.0,-0.014285714285714285,0.02857142857142857,-0.03917806284714284,1.084381675,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.0,large_gap_control,2,1921,5,0,0,0.0025979164634080242,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9989484752891693,-0.006480416563368336,0.0,0.0,0.0010309278350515464,-2.4621050792505823,-0.7198218846500002,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.0,overall,2,8683,73,4,2,0.008408230079067875,0.6666666666666666,0.02860501567398119,0.9713949843260188,0.0,0.0,0.0002303352140019193,0.0,0.9651026897677792,0.9671766351439278,-0.010928788784504182,0.0,-0.00023020257826887662,0.002073945376148572,-2.7203271217949894,-0.5739380400000007,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.0,stable_near_tie,2,1436,25,4,2,0.017065041612432455,0.6666666666666666,0.08680555555555555,0.9131944444444444,0.0,0.0,0.0014160059953457183,0.0,0.9160198004180965,0.9174358064134422,-0.00714907157361397,0.0,-0.0006172839506172839,0.0014160059953457183,-3.927921635485833,-0.9723196512500004,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.0,stable_positive_v2,2,4,2,4,2,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,-4.11990229288737,-3.5401077270507812,-0.5,0.6666666666666666,0.3685899283333333,0.9058500485,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.0,stable_positive_v2_committee,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3412142825,0.007685448249999963,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.25,baseline_error_near_tie,2,144,26,4,2,0.1811692070229597,0.6666666666666666,0.08125,0.91875,0.0,0.0,0.013891568589619912,0.0,0.020740883658113062,0.034632452247732974,-0.07368784615047277,0.0,-0.007042253521126761,0.013891568589619912,-1.1768777326446362,0.7831935879999998,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.25,hard_near_tie,2,1489,26,4,2,0.017225734691488116,0.6666666666666666,0.08125,0.91875,0.0,0.0,0.0013619965460718885,0.0,0.9038992067673575,0.9052612033134293,-0.006902400942879362,0.0,-0.0006009615384615385,0.0013619965460718885,-3.9043151719863793,-0.9682121190000003,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.25,high_headroom_near_tie,2,70,26,4,2,0.37142857142857144,0.6666666666666666,0.08125,0.91875,0.0,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,-0.15084261213030134,0.0,-0.014285714285714285,0.02857142857142857,-0.03917806284714284,1.084381675,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.25,large_gap_control,2,1921,5,0,0,0.0025979164634080242,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9989484752891693,-0.006480416563368336,0.0,0.0,0.0010309278350515464,-2.4621050792505823,-0.7198218846500002,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.25,overall,2,8683,84,4,2,0.009675803252610166,0.6666666666666666,0.026332288401253918,0.9736677115987461,0.0,0.0,0.0002303352140019193,0.0,0.9651026897677792,0.9674071029936628,-0.011803742220405086,0.0,-0.00023020257826887662,0.002304413225883534,-2.7203271217949894,-0.5739380400000007,memory_agree_blend_hybrid
