suite,slice,decisions,disagreement,correction_rate,new_error_rate,base_target_match,student_target_match,mean_delta_regret,mean_delta_miss,variant,split
a1_multiheavy_mixed_compute_round9_eval_seed315,overall,1581,0.03542061986084757,0.006957621758380772,0.028462998102466792,0.9664769133459835,0.9449715370018975,0.11318884131125745,-0.0018975332068311196,pairwise,round10_feature_cache_seed315
a1_multiheavy_mixed_compute_round9_eval_seed315,hard_near_tie,355,0.04225352112676056,0.01971830985915493,0.022535211267605635,0.8985915492957747,0.895774647887324,0.022781466094540688,-0.005633802816901409,pairwise,round10_feature_cache_seed315
a1_multiheavy_mixed_compute_round9_eval_seed315,stable_near_tie,342,0.038011695906432746,0.02046783625730994,0.017543859649122806,0.9152046783625731,0.9181286549707602,-0.0102606349521215,-0.005847953216374269,pairwise,round10_feature_cache_seed315
a1_multiheavy_mixed_compute_round9_eval_seed315,high_headroom_near_tie,18,0.2777777777777778,0.2777777777777778,0.0,0.0,0.2777777777777778,-1.2108552720811643,-0.1111111111111111,pairwise,round10_feature_cache_seed315
a1_multiheavy_mixed_compute_round9_eval_seed315,baseline_error_near_tie,37,0.21621621621621623,0.1891891891891892,0.02702702702702703,0.02702702702702703,0.1891891891891892,-0.6382725689862231,-0.05405405405405406,pairwise,round10_feature_cache_seed315
a1_multiheavy_mixed_compute_round9_eval_seed315,large_gap_control,474,0.016877637130801686,0.0,0.016877637130801686,0.9957805907172996,0.9789029535864979,0.12064263589271511,0.0,pairwise,round10_feature_cache_seed315
a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,overall,1640,0.08414634146341464,0.00548780487804878,0.07682926829268293,0.974390243902439,0.9030487804878049,0.5141787435950301,0.0006097560975609756,pairwise,round10_feature_cache_seed315
a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,hard_near_tie,395,0.06329113924050633,0.007594936708860759,0.05063291139240506,0.9240506329113924,0.8810126582278481,0.29196100355703597,0.0,pairwise,round10_feature_cache_seed315
a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,stable_near_tie,387,0.056847545219638244,0.007751937984496124,0.04392764857881137,0.9250645994832042,0.8888888888888888,0.266340576093018,0.0,pairwise,round10_feature_cache_seed315
a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,high_headroom_near_tie,14,0.14285714285714285,0.07142857142857142,0.0,0.0,0.07142857142857142,0.1709436689104358,0.0,pairwise,round10_feature_cache_seed315
a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,baseline_error_near_tie,30,0.16666666666666666,0.1,0.0,0.0,0.1,0.2321151733398438,0.0,pairwise,round10_feature_cache_seed315
a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,large_gap_control,424,0.04009433962264151,0.0,0.04009433962264151,1.0,0.9599056603773585,0.2961973244289181,0.0,pairwise,round10_feature_cache_seed315
a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,overall,1123,0.016028495102404273,0.0017809439002671415,0.014247551202137132,0.9599287622439893,0.9474621549421193,0.03035193941790607,0.0,pairwise,round10_feature_cache_seed315
a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,hard_near_tie,82,0.0,0.0,0.0,0.9512195121951219,0.9512195121951219,-6.488712006726906e-16,0.0,pairwise,round10_feature_cache_seed315
a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,stable_near_tie,81,0.0,0.0,0.0,0.9629629629629629,0.9629629629629629,-6.579099405186112e-16,0.0,pairwise,round10_feature_cache_seed315
a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,high_headroom_near_tie,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pairwise,round10_feature_cache_seed315
a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,baseline_error_near_tie,4,0.0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,0.0,pairwise,round10_feature_cache_seed315
a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,large_gap_control,53,0.0,0.0,0.0,1.0,1.0,3.35161667811368e-17,0.0,pairwise,round10_feature_cache_seed315
a1_multiheavy_mixed_compute_round9_eval_seed316,overall,1318,0.10849772382397573,0.013657056145675266,0.08877086494688922,0.956752655538695,0.881638846737481,0.5833085140436661,0.0037936267071320183,pairwise,round10_feature_cache_seed316
a1_multiheavy_mixed_compute_round9_eval_seed316,hard_near_tie,199,0.08040201005025126,0.020100502512562814,0.04522613065326633,0.8844221105527639,0.8592964824120602,0.23004795438680212,0.0,pairwise,round10_feature_cache_seed316
a1_multiheavy_mixed_compute_round9_eval_seed316,stable_near_tie,190,0.07894736842105263,0.021052631578947368,0.042105263157894736,0.8947368421052632,0.8736842105263158,0.18822610754715757,0.0,pairwise,round10_feature_cache_seed316
a1_multiheavy_mixed_compute_round9_eval_seed316,high_headroom_near_tie,15,0.4,0.26666666666666666,0.0,0.0,0.26666666666666666,0.1922123591105142,0.0,pairwise,round10_feature_cache_seed316
a1_multiheavy_mixed_compute_round9_eval_seed316,baseline_error_near_tie,23,0.30434782608695654,0.17391304347826086,0.0,0.0,0.17391304347826086,0.45971816519032344,0.0,pairwise,round10_feature_cache_seed316
a1_multiheavy_mixed_compute_round9_eval_seed316,large_gap_control,308,0.05519480519480519,0.006493506493506494,0.048701298701298704,0.9935064935064936,0.9512987012987013,0.34154185072168125,0.003246753246753247,pairwise,round10_feature_cache_seed316
a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,overall,1711,0.09643483343074226,0.0029222676797194622,0.09175920514319112,0.9701928696668615,0.8813559322033898,0.6639358499884814,0.0,pairwise,round10_feature_cache_seed316
a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,hard_near_tie,330,0.03333333333333333,0.00909090909090909,0.01818181818181818,0.8818181818181818,0.8727272727272727,0.07063102144183517,0.0,pairwise,round10_feature_cache_seed316
a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,stable_near_tie,312,0.03205128205128205,0.009615384615384616,0.016025641025641024,0.8942307692307693,0.8878205128205128,0.07351985955849653,0.0,pairwise,round10_feature_cache_seed316
a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,high_headroom_near_tie,17,0.11764705882352941,0.0,0.0,0.0,0.0,0.7420025993795956,0.0,pairwise,round10_feature_cache_seed316
