variant,split,budget_pct,slice,decisions,coverage,selected_disagreement,defer_precision,false_positive_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,mean_delta_miss
margin_regime,round11_feature_cache_seed315,0.25,stable_positive_pack,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-7.0802154541015625,-1.0
margin_regime,round11_feature_cache_seed315,0.25,hard_near_tie,832,0.006009615384615385,0.001201923076923077,0.2,0.0,0.001201923076923077,0.0,0.9158653846153846,0.9170673076923077,-0.00850987434387207,-0.001201923076923077
margin_regime,round11_feature_cache_seed315,0.25,stable_near_tie,810,0.006172839506172839,0.0012345679012345679,0.2,0.0,0.0012345679012345679,0.0,0.9246913580246914,0.9259259259259259,-0.00874100673345872,-0.0012345679012345679
margin_regime,round11_feature_cache_seed315,0.25,high_headroom_near_tie,35,0.14285714285714285,0.02857142857142857,0.2,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,-0.2022918701171875,-0.02857142857142857
margin_regime,round11_feature_cache_seed315,0.25,baseline_error_near_tie,71,0.07042253521126761,0.014084507042253521,0.2,0.0,0.014084507042253521,0.0,0.014084507042253521,0.028169014084507043,-0.09972134442396567,-0.014084507042253521
margin_regime,round11_feature_cache_seed315,0.25,large_gap_control,951,0.002103049421661409,0.0,0.0,0.0,0.0,0.0,0.9978969505783386,0.9978969505783386,0.0,0.0
margin_regime,round11_feature_cache_seed315,0.5,overall,4344,0.0050644567219152855,0.00046040515653775324,0.045454545454545456,0.0,0.00023020257826887662,0.0,0.9677716390423573,0.9682320441988951,-0.0041297294377841565,-0.00046040515653775324
margin_regime,round11_feature_cache_seed315,0.5,stable_positive_pack,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-7.0802154541015625,-1.0
margin_regime,round11_feature_cache_seed315,0.5,hard_near_tie,832,0.014423076923076924,0.001201923076923077,0.08333333333333333,0.0,0.001201923076923077,0.0,0.9158653846153846,0.9170673076923077,-0.00850987434387207,-0.001201923076923077
margin_regime,round11_feature_cache_seed315,0.5,stable_near_tie,810,0.014814814814814815,0.0012345679012345679,0.08333333333333333,0.0,0.0012345679012345679,0.0,0.9246913580246914,0.9259259259259259,-0.00874100673345872,-0.0012345679012345679
margin_regime,round11_feature_cache_seed315,0.5,high_headroom_near_tie,35,0.34285714285714286,0.02857142857142857,0.08333333333333333,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,-0.2022918701171875,-0.02857142857142857
margin_regime,round11_feature_cache_seed315,0.5,baseline_error_near_tie,71,0.16901408450704225,0.014084507042253521,0.08333333333333333,0.0,0.014084507042253521,0.0,0.014084507042253521,0.028169014084507043,-0.09972134442396567,-0.014084507042253521
margin_regime,round11_feature_cache_seed315,0.5,large_gap_control,951,0.0031545741324921135,0.0,0.0,0.0,0.0,0.0,0.9978969505783386,0.9978969505783386,0.0,0.0
margin_regime,round11_feature_cache_seed315,1.0,overall,4344,0.010128913443830571,0.00046040515653775324,0.022727272727272728,0.0,0.00023020257826887662,0.0,0.9677716390423573,0.9682320441988951,-0.0041297294377841565,-0.00046040515653775324
margin_regime,round11_feature_cache_seed315,1.0,stable_positive_pack,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-7.0802154541015625,-1.0
margin_regime,round11_feature_cache_seed315,1.0,hard_near_tie,832,0.019230769230769232,0.001201923076923077,0.0625,0.0,0.001201923076923077,0.0,0.9158653846153846,0.9170673076923077,-0.00850987434387207,-0.001201923076923077
margin_regime,round11_feature_cache_seed315,1.0,stable_near_tie,810,0.019753086419753086,0.0012345679012345679,0.0625,0.0,0.0012345679012345679,0.0,0.9246913580246914,0.9259259259259259,-0.00874100673345872,-0.0012345679012345679
margin_regime,round11_feature_cache_seed315,1.0,high_headroom_near_tie,35,0.45714285714285713,0.02857142857142857,0.0625,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,-0.2022918701171875,-0.02857142857142857
margin_regime,round11_feature_cache_seed315,1.0,baseline_error_near_tie,71,0.22535211267605634,0.014084507042253521,0.0625,0.0,0.014084507042253521,0.0,0.014084507042253521,0.028169014084507043,-0.09972134442396567,-0.014084507042253521
margin_regime,round11_feature_cache_seed315,1.0,large_gap_control,951,0.017875920084121977,0.0,0.0,0.0,0.0,0.0,0.9978969505783386,0.9978969505783386,0.0,0.0
margin_regime,round11_feature_cache_seed315,2.0,overall,4344,0.020027624309392266,0.00046040515653775324,0.011494252873563218,0.0,0.00023020257826887662,0.0,0.9677716390423573,0.9682320441988951,-0.0041297294377841565,-0.00046040515653775324
margin_regime,round11_feature_cache_seed315,2.0,stable_positive_pack,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-7.0802154541015625,-1.0
margin_regime,round11_feature_cache_seed315,2.0,hard_near_tie,832,0.028846153846153848,0.001201923076923077,0.041666666666666664,0.0,0.001201923076923077,0.0,0.9158653846153846,0.9170673076923077,-0.00850987434387207,-0.001201923076923077
margin_regime,round11_feature_cache_seed315,2.0,stable_near_tie,810,0.02962962962962963,0.0012345679012345679,0.041666666666666664,0.0,0.0012345679012345679,0.0,0.9246913580246914,0.9259259259259259,-0.00874100673345872,-0.0012345679012345679
margin_regime,round11_feature_cache_seed315,2.0,high_headroom_near_tie,35,0.6285714285714286,0.02857142857142857,0.045454545454545456,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,-0.2022918701171875,-0.02857142857142857
margin_regime,round11_feature_cache_seed315,2.0,baseline_error_near_tie,71,0.30985915492957744,0.014084507042253521,0.045454545454545456,0.0,0.014084507042253521,0.0,0.014084507042253521,0.028169014084507043,-0.09972134442396567,-0.014084507042253521
margin_regime,round11_feature_cache_seed315,2.0,large_gap_control,951,0.05362776025236593,0.0,0.0,0.0,0.0,0.0,0.9978969505783386,0.9978969505783386,0.0,0.0
margin_regime,round11_feature_cache_seed315,5.0,overall,4344,0.0501841620626151,0.00046040515653775324,0.0045871559633027525,0.0,0.00023020257826887662,0.0,0.9677716390423573,0.9682320441988951,-0.0041297294377841565,-0.00046040515653775324
margin_regime,round11_feature_cache_seed315,5.0,stable_positive_pack,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-7.0802154541015625,-1.0
margin_regime,round11_feature_cache_seed315,5.0,hard_near_tie,832,0.04927884615384615,0.001201923076923077,0.024390243902439025,0.0,0.001201923076923077,0.0,0.9158653846153846,0.9170673076923077,-0.00850987434387207,-0.001201923076923077
margin_regime,round11_feature_cache_seed315,5.0,stable_near_tie,810,0.050617283950617285,0.0012345679012345679,0.024390243902439025,0.0,0.0012345679012345679,0.0,0.9246913580246914,0.9259259259259259,-0.00874100673345872,-0.0012345679012345679
margin_regime,round11_feature_cache_seed315,5.0,high_headroom_near_tie,35,0.8285714285714286,0.02857142857142857,0.034482758620689655,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,-0.2022918701171875,-0.02857142857142857
margin_regime,round11_feature_cache_seed315,5.0,baseline_error_near_tie,71,0.4788732394366197,0.014084507042253521,0.029411764705882353,0.0,0.014084507042253521,0.0,0.014084507042253521,0.028169014084507043,-0.09972134442396567,-0.014084507042253521
margin_regime,round11_feature_cache_seed315,5.0,large_gap_control,951,0.1650893796004206,0.0,0.0,0.0,0.0,0.0,0.9978969505783386,0.9978969505783386,0.0,0.0
