suite,slice,decisions,action_changed,helpful_rate,harmful_rate,neutral_rate,mean_delta_regret,p95_delta_regret,mean_delta_miss,base_target_match,compute_target_match,baseline_error_recovery,baseline_success_break
a1_multiheavy_mixed_compute_round9_eval_seed314,overall,1359,0.047829286239882265,0.01839587932303164,0.029433406916850625,0.9521707137601177,0.15993029304599832,0.0,0.006622516556291391,0.9470198675496688,0.9352465047829286,0.010301692420897719,0.029433406916850625
a1_multiheavy_mixed_compute_round9_eval_seed314,hard_near_tie,226,0.10619469026548672,0.061946902654867256,0.04424778761061947,0.8938053097345132,0.08206944761023058,0.0,0.017699115044247787,0.831858407079646,0.8495575221238938,0.061946902654867256,0.04424778761061947
a1_multiheavy_mixed_compute_round9_eval_seed314,stable_near_tie,216,0.10648148148148148,0.06018518518518518,0.046296296296296294,0.8935185185185185,0.08715565116317184,0.0,0.018518518518518517,0.8472222222222222,0.8611111111111112,0.06018518518518518,0.046296296296296294
a1_multiheavy_mixed_compute_round9_eval_seed314,high_headroom_near_tie,22,0.45454545454545453,0.45454545454545453,0.0,0.5454545454545454,-1.5893303697759456,0.0,-0.045454545454545456,0.0,0.45454545454545453,0.45454545454545453,0.0
a1_multiheavy_mixed_compute_round9_eval_seed314,baseline_error_near_tie,37,0.3783783783783784,0.3783783783783784,0.0,0.6216216216216216,-1.0206798862766575,0.0,-0.02702702702702703,0.0,0.3783783783783784,0.3783783783783784,0.0
a1_multiheavy_mixed_compute_round9_eval_seed314,large_gap_control,363,0.027548209366391185,0.0,0.027548209366391185,0.9724517906336089,0.23038559905753647,0.0,0.0,1.0,0.9724517906336089,0.0,0.027548209366391185
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,overall,1890,0.09735449735449736,0.025396825396825397,0.07195767195767196,0.9026455026455027,0.43522843910903525,6.003127193450927,0.027513227513227514,0.9571428571428572,0.9105820105820106,0.015873015873015872,0.07195767195767196
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,hard_near_tie,365,0.18356164383561643,0.0821917808219178,0.10136986301369863,0.8164383561643835,0.5358424121386385,7.6097236633300795,0.07397260273972603,0.852054794520548,0.8328767123287671,0.0821917808219178,0.10136986301369863
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,stable_near_tie,345,0.1826086956521739,0.08115942028985507,0.10144927536231885,0.8173913043478261,0.5673442260078762,7.739347076416017,0.0782608695652174,0.8753623188405797,0.855072463768116,0.08115942028985507,0.10144927536231885
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,high_headroom_near_tie,27,0.7407407407407407,0.7407407407407407,0.0,0.25925925925925924,-2.4094758563571506,0.0,0.0,0.0,0.7407407407407407,0.7407407407407407,0.0
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,baseline_error_near_tie,54,0.5555555555555556,0.5555555555555556,0.0,0.4444444444444444,-1.3304576697172943,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,0.0
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,large_gap_control,562,0.026690391459074734,0.0,0.026690391459074734,0.9733096085409253,0.2219917120882625,0.0,0.0035587188612099642,1.0,0.9733096085409253,0.0,0.026690391459074734
a1_multiheavy_ood_heavy_dynamic_round9_eval_seed314,overall,1189,0.030277544154751892,0.02607232968881413,0.004205214465937763,0.9697224558452481,-0.09729252952402434,0.0,-0.002523128679562658,0.9419680403700589,0.9638351555929352,0.0008410428931875525,0.004205214465937763
a1_multiheavy_ood_heavy_dynamic_round9_eval_seed314,hard_near_tie,93,0.021505376344086023,0.010752688172043012,0.010752688172043012,0.978494623655914,-0.005950189405871976,0.0,0.0,0.9032258064516129,0.9032258064516129,0.010752688172043012,0.010752688172043012
a1_multiheavy_ood_heavy_dynamic_round9_eval_seed314,stable_near_tie,91,0.02197802197802198,0.01098901098901099,0.01098901098901099,0.978021978021978,-0.006080962799407624,0.0,0.0,0.9010989010989011,0.9010989010989011,0.01098901098901099,0.01098901098901099
a1_multiheavy_ood_heavy_dynamic_round9_eval_seed314,high_headroom_near_tie,4,0.25,0.25,0.0,0.75,-0.5184192657470703,0.0,0.0,0.0,0.25,0.25,0.0
a1_multiheavy_ood_heavy_dynamic_round9_eval_seed314,baseline_error_near_tie,9,0.1111111111111111,0.1111111111111111,0.0,0.8888888888888888,-0.23040856255425346,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0
a1_multiheavy_ood_heavy_dynamic_round9_eval_seed314,large_gap_control,90,0.022222222222222223,0.022222222222222223,0.0,0.9777777777777777,-0.3037681367662218,0.0,-0.022222222222222223,0.9777777777777777,1.0,0.0,0.0
