suite,decisions,action_agreement,overall_disagreement,hard_feasible_cases,hard_feasible_disagreement
e3_memory_hubs_rsm_round6_multiheavy_seed312,774,1.0,0.0,46,0.0
a2_multiheavy_ood_branching3_round6_eval,1892,1.0,0.0,124,0.0
a2_multiheavy_ood_deeper_packets6_round6_eval,2289,0.9868938401048493,0.01310615989515072,95,0.0
a2_multiheavy_ood_heavy_dynamic_round6_eval,2981,0.9879235155987923,0.012076484401207649,160,0.0
