suite,config_path,manifest_hash,episode_count,decision_count
e3_memory_hubs_rsm_round7_multiheavy_seed312,configs/experiments/e3_memory_hubs_rsm_round7_multiheavy_seed312.yaml,1f8314e5858354c445d92f4dcf8f29cd5f6072e253c3fd6fa88978712257d455,48,774
a1_multiheavy_ood_branching3_round7_eval,configs/experiments/a1_multiheavy_ood_branching3_round7_eval.yaml,9597c021a2b70a035dee9fcba1bb37a4c27ce4a20fed2e7a1fdbe6b2990472d6,48,904
a1_multiheavy_ood_deeper_packets6_round7_eval,configs/experiments/a1_multiheavy_ood_deeper_packets6_round7_eval.yaml,a45b8aa6117bc75a0eff9aac7f2205a13d79c52421e41a0f2f31b208582451df,48,1510
a1_multiheavy_ood_heavy_dynamic_round7_eval,configs/experiments/a1_multiheavy_ood_heavy_dynamic_round7_eval.yaml,68308b9aa1fbfa20b9ecd9ca0e646ffb55d6601c915823182268965cdf1422a2,48,1195
