variant,overall_target_match_delta,hard_near_tie_decisions,hard_near_tie_disagreement,hard_near_tie_correction_rate,hard_near_tie_new_error_rate,hard_near_tie_regret_delta,hard_near_tie_miss_delta,baseline_error_decisions,baseline_error_recovery,baseline_error_regret_delta
late_unfreeze,-0.11423290203327174,318.0,0.2955974842767295,0.0345911949685534,0.2264150943396226,0.03994325690195484,0.03144654088050307,24.0,0.4583333333333333,0.07112541943691508
late_unfreeze_gate15,-0.07282809611829943,318.0,0.2484276729559748,0.012578616352201233,0.19496855345911948,0.0391318775679031,0.0440251572327044,24.0,0.16666666666666663,0.05868666509923052
pairwise_rank,-0.005175600739371511,318.0,0.05031446540880497,0.01886792452830187,0.0314465408805031,0.0007555488652239,0.0,24.0,0.24999999999999997,-0.015610967840378435
risk_multi,-0.14935304990757858,318.0,0.34276729559748426,0.009433962264150934,0.27358490566037735,0.07231206230053366,0.050314465408805,24.0,0.12499999999999999,0.1588568215714379
scalar_q,-0.14048059149722736,318.0,0.34591194968553457,0.047169811320754665,0.270440251572327,0.037690457734191433,0.0314465408805031,24.0,0.625,0.03603190084201441
