experiment,bucket,gpu_hours,test_next_hop_accuracy,value_mae,value_rmse,rollout_solved_rate,rollout_next_hop_accuracy,average_regret,p95_regret,worst_regret,deadline_violations,deadline_miss_rate
a2_e3_deadline_head_round4_seed311,exploit,0.11770952933364444,0.9581823796033859,1.80129607518514,2.3126078248023987,1.0,0.9513513513513514,1.2639447450637817,7.503976821899414,7.711583137512207,0.6875,0.5
a2_e3_multiheavy_deadline_head_round4_seed311,exploit,0.14072038306130302,0.9534313924172345,1.8800688140532549,2.3511583173976227,1.0,0.9517543859649122,1.5011754035949707,5.962328910827637,15.998573303222656,0.6875,0.4375
a2_e3_multiheavy_path_reranker_deadline_head_round4_seed311,exploit,0.06111519972483317,0.9534313854049233,1.7695347351186417,2.27764752331902,1.0,0.9605263157894737,1.3653582334518433,5.706894874572754,15.998573303222656,0.625,0.375
a3_e3_multiheavy_path_reranker_round4_seed311,exploit,0.06248185488912794,0.9534313854049233,1.745743702439701,2.2555244039086735,1.0,0.9605263157894737,1.3653582334518433,5.706894874572754,15.998573303222656,0.625,0.375
a3_e3_multiheavy_path_reranker_round4_seed312,exploit,0.0603397356139289,0.9558823669657988,2.4154684508548065,3.1901511129210975,1.0,0.953125,1.7760591506958008,5.445607662200928,6.129857063293457,0.6875,0.4375
a3_e3_multiheavy_path_reranker_round4_seed313,exploit,0.06377940383222368,0.9666666905085246,1.4783969879150392,1.9208072106043497,1.0,0.9685863874345549,0.5548397302627563,2.903914213180542,5.579524517059326,0.5625,0.375
a3_e3_path_reranker_round4_seed311,exploit,0.049515281120936075,0.9599184890588125,1.9034659663836162,2.4100944697856903,1.0,0.9621621621621622,1.1003875732421875,7.503976821899414,7.711583137512207,0.625,0.4375
a3_e3_path_reranker_round4_seed312,exploit,0.05709263245264689,0.9535256532522348,1.953195911187392,2.574004191618699,1.0,0.9452054794520548,2.481701612472534,11.254030227661133,14.33788013458252,0.6875,0.4375
a4_e3_verifier_refine_round4_seed311,exploit,0.07911762999163734,0.9629629717932807,1.6986409690645006,2.121849536895752,1.0,0.9536423841059603,1.0426276922225952,4.784950256347656,7.434774398803711,0.75,0.5
e1_local_baseline,exploit,0.013801368673642476,0.9446022775438097,0.0,0.0,1.0,0.8690476190476191,11.474424509333268,0.0,0.0,1.5,0.0
e2_selective_read,exploit,0.01346352563963996,0.966796875,0.0,0.0,1.0,0.937984496124031,2.57283893716626,0.0,0.0,1.125,0.0
e2_selective_read_seed104,exploit,0.016226537293858,0.9417162736256918,0.0,0.0,1.0,0.9709302325581395,1.810929882183352,0.0,0.0,1.5,0.0
e2_selective_read_seed105,exploit,0.014923003117243448,0.94921875,0.0,0.0,1.0,0.9532163742690059,1.5142951806314002,0.0,0.0,1.5625,0.0
e3_memory_hubs_rsm,exploit,0.10188901980717976,0.9673077097305884,0.0,0.0,1.0,0.9838709677419355,0.03691416315362517,0.0,0.0,1.6875,0.0
e3_memory_hubs_rsm_round2_repro,exploit,0.11106351567639244,0.956597238779068,0.0,0.0,1.0,0.9390243902439024,3.0731303989345804,0.0,0.0,1.4375,0.0
e3_memory_hubs_rsm_round3_calibration_seed211,exploit,0.1037981379032135,0.9679487347602844,6.571367483872634,8.0444765824538,1.0,0.9354838709677419,2.5730624198913574,8.204767227172852,15.950282096862793,1.9375,1.0
e3_memory_hubs_rsm_round3_multiheavy_seed211,exploit,0.15733350733915966,0.9634759942690532,6.035327545801798,7.3948079744974775,1.0,0.957345971563981,2.3902015686035156,10.08024787902832,15.176492691040039,1.875,1.0
e3_memory_hubs_rsm_round3_seed211,exploit,0.10384907444318135,0.9631410470375648,5.86602522776677,7.330616510831392,1.0,0.9354838709677419,2.5730624198913574,8.204767227172852,15.950282096862793,1.9375,1.0
e3_memory_hubs_rsm_round3_seed212,exploit,0.10505173431502449,0.9638889074325562,4.724617783228556,6.041145388285319,1.0,0.9615384615384616,1.6019376516342163,5.977295398712158,10.585121154785156,2.0,1.0
e3_memory_hubs_rsm_round3_seed213,exploit,0.07566077291965484,0.9647436141967773,5.339018106460571,7.106743115645188,1.0,0.936046511627907,2.1553032398223877,10.864608764648438,15.225964546203613,1.5,1.0
e3_memory_hubs_rsm_round4_multiheavy_seed311,exploit,0.07058892495102352,0.9522059033898747,1.8717628647299374,2.3724055500591503,1.0,0.9517543859649122,1.5011754035949707,5.962328910827637,15.998573303222656,0.6875,0.4375
e3_memory_hubs_rsm_round4_multiheavy_seed312,exploit,0.06524410651789771,0.9473039367619682,3.3604438725639794,4.040982050054214,1.0,0.9453125,1.9167025089263916,5.445607662200928,6.129857063293457,0.6875,0.4375
e3_memory_hubs_rsm_round4_multiheavy_seed313,exploit,0.08878031657801734,0.9750000198682149,1.578175131479899,1.9848611215750376,1.0,0.9685863874345549,0.5548397302627563,2.903914213180542,5.579524517059326,0.5625,0.375
e3_memory_hubs_rsm_round4_seed311,exploit,0.1066539724667867,0.9564462701479594,2.017935206492742,2.5616262058417,1.0,0.9513513513513514,1.2639447450637817,7.503976821899414,7.711583137512207,0.6875,0.5
e3_memory_hubs_rsm_round4_seed312,exploit,0.13816769321759542,0.9487179655295152,2.2590017227026133,2.9725688237410326,1.0,0.91324200913242,3.215318202972412,13.310883522033691,14.33788013458252,0.8125,0.5
e3_memory_hubs_rsm_round4_seed313,exploit,0.12110552357302772,0.9618055721124014,1.6961881319681804,2.241556386152903,1.0,0.9257425742574258,2.273812770843506,10.626986503601074,11.774574279785156,1.0625,0.625
