family,variant,budget_pct,slice,split_count,decisions,selected_count,stable_positive_total,stable_positive_selected,coverage,stable_positive_recall,defer_precision,false_positive_rate,harmful_selection_rate,false_positive_correction_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,p95_delta_regret,selected_mean_delta_regret,selected_p95_delta_regret,mean_delta_miss,selected_mean_delta_miss,selected_disagreement,score_mean,score_p95,source_name
round13_dispatcher,round13_archived_score_band_dispatcher,0.1,baseline_error_near_tie,2,144,4,4,1,0.02797607563187343,0.5,0.16666666666666666,0.8333333333333333,0.0,0.0,0.007042253521126761,0.0,0.020740883658113062,0.027783137179239824,-0.049860672211982836,0.0,-1.180035909016927,0.0,-0.007042253521126761,-0.16666666666666666,0.007042253521126761,-595986879.0823147,4.183130714999999,archived
round13_dispatcher,round13_archived_score_band_dispatcher,0.1,hard_near_tie,2,1489,4,4,1,0.0025639196229949655,0.5,0.16666666666666666,0.8333333333333333,0.0,0.0,0.0006009615384615385,0.0,0.9038992067673575,0.9045001683058189,-0.004254937171936035,0.0,-1.180035909016927,0.0,-0.0006009615384615385,-0.16666666666666666,0.0006009615384615385,-961462540.8745124,-1000000000.0,archived
round13_dispatcher,round13_archived_score_band_dispatcher,0.1,high_headroom_near_tie,2,70,4,4,1,0.05714285714285714,0.5,0.16666666666666666,0.8333333333333333,0.0,0.0,0.014285714285714285,0.0,0.0,0.014285714285714285,-0.10114593505859375,0.0,-1.180035909016927,0.0,-0.014285714285714285,-0.16666666666666666,0.014285714285714285,-199999997.78607684,4.525255699999999,archived
round13_dispatcher,round13_archived_score_band_dispatcher,0.1,large_gap_control,2,1921,2,0,0,0.0010412262729411256,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9984330113716435,-0.003551458575061916,0.0,-3.4449148178100586,-3.4449148178100586,0.0,0.0,0.0005154639175257732,-994773271.7403789,-1000000000.0,archived
round13_dispatcher,round13_archived_score_band_dispatcher,0.1,overall,2,8683,10,4,1,0.0011516760700095966,0.5,0.1,0.9,0.0,0.0,0.00011510128913443831,0.0,0.9651026897677792,0.9656785941206506,-0.004778060456373443,0.0,-4.148465728759765,0.0,-0.00023020257826887662,-0.2,0.0005759043528713195,-981918751.9674494,-1000000000.0,archived
round13_dispatcher,round13_archived_score_band_dispatcher,0.1,stable_near_tie,2,1436,4,4,1,0.0026505738965802864,0.5,0.16666666666666666,0.8333333333333333,0.0,0.0,0.0006172839506172839,0.0,0.9160198004180965,0.9166370843687137,-0.00437050336672936,0.0,-1.180035909016927,0.0,-0.0006172839506172839,-0.16666666666666666,0.0006172839506172839,-960024454.5915318,-1000000000.0,archived
round13_dispatcher,round13_archived_score_band_dispatcher,0.1,stable_positive_v2,2,4,1,4,1,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,-3.5401077270507812,-3.5401077270507812,-3.5401077270507812,-3.5401077270507812,-0.5,-0.5,0.5,4.257758126666666,4.655936179999999,archived
round13_dispatcher,round13_archived_score_band_dispatcher,0.1,stable_positive_v2_committee,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.382675835,1.6686980534999998,archived
round13_dispatcher,round13_archived_score_band_dispatcher,0.25,baseline_error_near_tie,2,144,9,4,2,0.06260852787960641,0.6666666666666666,0.225,0.775,0.0,0.0,0.013891568589619912,0.0,0.020740883658113062,0.034632452247732974,-0.07368784615047277,0.0,-1.1428674697875976,0.0,-0.007042253521126761,-0.1,0.013891568589619912,-595986879.0823147,4.183130714999999,archived
round13_dispatcher,round13_archived_score_band_dispatcher,0.25,hard_near_tie,2,1489,9,4,2,0.006048947722749092,0.6666666666666666,0.225,0.775,0.0,0.0,0.0013619965460718885,0.0,0.9038992067673575,0.9052612033134293,-0.006902400942879362,0.0,-1.1428674697875976,0.0,-0.0006009615384615385,-0.1,0.0013619965460718885,-961462540.8745124,-1000000000.0,archived
