variant,budget_pct,slice,decisions,coverage,defer_precision,false_positive_rate,harmful_selection_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,mean_delta_miss
prototype_support_weighted_evidence_agree,1.5,hard_near_tie,1489.0,0.05910006715916723,0.0,1.0,0.0,0.0,0.0,0.9053055742108798,0.9053055742108798,0.0,0.0
prototype_support_weighted_evidence_agree,1.5,high_headroom_near_tie,70.0,0.07142857142857142,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prototype_support_weighted_evidence_agree,1.5,large_gap_control,1921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979177511712649,0.9979177511712649,0.0,0.0
prototype_support_weighted_evidence_agree,1.5,overall,8683.0,0.015202119083266153,0.0,1.0,0.0,0.0,0.0,0.9651042266497755,0.9651042266497755,0.0,0.0
prototype_support_weighted_evidence_agree,1.5,stable_positive_v2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prototype_support_weighted_evidence_agree,2.0,baseline_error_near_tie,144.0,0.10416666666666667,0.0,0.4930555555555556,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0
prototype_support_weighted_evidence_agree,2.0,hard_near_tie,1489.0,0.07723304231027535,0.0,1.0,0.0,0.0,0.0,0.9053055742108798,0.9053055742108798,0.0,0.0
prototype_support_weighted_evidence_agree,2.0,high_headroom_near_tie,70.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prototype_support_weighted_evidence_agree,2.0,large_gap_control,1921.0,0.0005205622071837585,0.0,0.4950546590317543,0.0,0.0,0.0,0.9979177511712649,0.9979177511712649,0.0,0.0
prototype_support_weighted_evidence_agree,2.0,overall,8683.0,0.020039156973396293,0.0,1.0,0.0,0.0,0.0,0.9651042266497755,0.9651042266497755,0.0,0.0
prototype_support_weighted_evidence_agree,2.0,stable_positive_v2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prototype_support_weighted_evidence_agree_hybrid,0.1,baseline_error_near_tie,144.0,0.013888888888888888,0.0,0.4930555555555556,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0
prototype_support_weighted_evidence_agree_hybrid,0.1,hard_near_tie,1489.0,0.001343183344526528,0.0,0.5587642713230356,0.0,0.0,0.0,0.9053055742108798,0.9053055742108798,0.0,0.0
prototype_support_weighted_evidence_agree_hybrid,0.1,high_headroom_near_tie,70.0,0.02857142857142857,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prototype_support_weighted_evidence_agree_hybrid,0.1,large_gap_control,1921.0,0.0015616866215512754,0.0,1.0,0.0,0.0,0.0,0.9979177511712649,0.9984383133784487,-0.0035865849222384786,0.0
prototype_support_weighted_evidence_agree_hybrid,0.1,overall,8683.0,0.0011516756881262238,0.0,1.0,0.0,0.0,0.0,0.9651042266497755,0.9655648969250259,-0.0036858208619077867,0.0
prototype_support_weighted_evidence_agree_hybrid,0.1,stable_positive_v2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prototype_support_weighted_evidence_agree_hybrid,0.25,baseline_error_near_tie,144.0,0.09027777777777778,0.0,1.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0
prototype_support_weighted_evidence_agree_hybrid,0.25,hard_near_tie,1489.0,0.008730691739422432,0.0,1.0,0.0,0.0,0.0,0.9053055742108798,0.9053055742108798,0.0,0.0
